candidate_name,display_name,race,finance_type
julie a curtis,JULIE A CURTIS,Representative,TF
rebecca sue wotton,Rebecca Sue Wotton,Representative,TF
kevin lamoreau,Kevin Lamoreau,Representative,TF
savannah sessions,Savannah Sessions,Representative,TF
troy morton,Troy Morton,Representative,TF
william t dobbins,William T. Dobbins,Representative,TF
jason seth cherry,Jason Seth Cherry,Governor,TF
clifford noyes,Clifford Noyes,Representative,MCEA
tammy gay,Tammy Gay,Representative,TF
albert joy,Albert Joy,Representative,TF
cherri l crockett,Cherri L Crockett,Representative,TF
gail j clark,Gail J Clark,Representative,TF
corey leigh bagley,Corey Leigh Bagley,Representative,TF
frank mawson blauvelt jr,"Frank Mawson Blauvelt, Jr.",Representative,TF
todd lyford,Todd Lyford,Representative,TF
william king jr,"William King, Jr.",Representative,TF
valerie adams,Valerie Adams,Representative,TF
neil mclean jr,"Neil McLean, Jr.",Representative,TF
natasha c irving,Natasha C Irving,Representative,TF
roland poirier,Roland Poirier,Representative,TF
jason trundy,Jason Trundy,Representative,TF
kari wellspuckett,Kari Wells-Puckett,Representative,TF
gary mcgrane,Gary McGrane,Representative,TF
earl ireland,Earl Ireland,Representative,TF
walter voskian,Walter Voskian,Representative,TF
paul titcomb davis sr,"Paul Titcomb Davis, Sr.",Representative,TF
roch  angers,Roch  Angers,Representative,TF
doris ortiz,Doris Ortiz,Representative,TF
noel madore,Noel Madore,Representative,TF
breanna pinkham bebb,Breanna Pinkham Bebb,Representative,TF
justin chenette,Justin Chenette,Representative,TF
edward glaser,Edward Glaser,Representative,TF
gordon bell,Gordon Bell,Representative,TF
kelly maureen noonan murphy,Kelly Maureen Noonan Murphy,Representative,TF
azalea cormier,Azalea Cormier,Representative,MCEA
john alsop,John Alsop,Representative,TF
edward mathias kamin iii,Edward Mathias Kamin III,Representative,MCEA
john hansen,John Hansen,Representative,TF
monica cease,Monica Cease,Representative,TF
gary mcgrane,Gary McGrane,Representative,TF
coreene baumann,Coreene Baumann,Representative,TF
sigrid ann olson,Sigrid Ann Olson,Representative,TF
derek allen levasseur,Derek Allen Levasseur,Governor,TF
dennis mahar,Dennis Mahar,Representative,TF
darlene perry,Darlene Perry,Representative,TF
alphonzo wagner iii,Alphonzo Wagner III,Representative,TF
