"candidate","tot_exp","race","district","party","show_on_page","display_name","finance_type"
"alicia c collins",6113.99,"Representative",61,"Republican","yes","Alicia Collins","TF"
"pamela jo swift",819,"Representative",62,"Democratic","yes","Pamela Swift","MCEA"
"katrina j smith",580.54,"Representative",62,"Republican","yes","Katrina Smith","TF"
"paul r flynn",4353.93,"Representative",63,"Republican","yes","Paul Flynn","TF"
"shawn michael packard",1891.08,"Representative",64,"Republican","yes","Shawn Packard","TF"
"flavia m debrito",94.5,"Representative",64,"Democratic","yes","Flavia DeBrito","MCEA"
"cassie l julia",871.45,"Representative",65,"Democratic","yes","Cassie Julia","MCEA"
"matthew channing townsend",1000.03,"Representative",67,"Democratic","yes","Matthew Townsend","MCEA"
"shawn m dixon",510,"Representative",67,"Republican","yes","Shawn Dixon","TF"
"amanda noelle collamore",62.26,"Representative",68,"Republican","yes","Amanda Collamore","TF"
"dean a cray",748.78,"Representative",69,"Republican","yes","Dean Cray","TF"
"jennifer lynn poirier",134.46,"Representative",70,"Republican","yes","Jennifer Poirier","TF"
"john e ducharme iii",450.92,"Representative",71,"Republican","yes","John Ducharme III","TF"
"douglas a thomas",1000,"Representative",72,"Republican","yes","Douglas Thomas","MCEA"
"ryan morgan",545,"Representative",73,"Republican","yes","Ryan Morgan","TF"
"mike soboleski",42.6,"Representative",73,"Republican","yes","Michael Soboleski","TF"
"russell john black",993,"Representative",74,"Republican","yes","Russell Black","MCEA"
"randall douglas gauvin",1760.56,"Representative",75,"Republican","yes","Randall Gauvin","TF"
"h scott landry",102.83,"Representative",75,"Democratic","yes","Scott Landry","TF"
"trevor alex doiron",259.36,"Representative",76,"Democratic","yes","Trevor Doiron","MCEA"
"woodleigh h hughes",1850,"Representative",78,"Democratic","yes","Woodleigh Hughes","MCEA"
"ernest fitts iv",1050.78,"Representative",80,"Republican","yes","Ernest Fitts IV","TF"
"gino valeriani",719.6,"Representative",80,"Republican","yes","Gino Valeriani","TF"
"caleb joshua ness",1187.77,"Representative",82,"Republican","yes","Caleb Ness","MCEA"
"christopher alfred lewey",42.18,"Representative",82,"Democratic","yes","Christopher Lewey","MCEA"
"mark walker",300.21,"Representative",84,"Republican","yes","Mark Walker","TF"
"adrienne paul",1003.93,"Representative",85,"Republican","yes","Adrienne Paul","MCEA"
"timothy nickels",895.84,"Representative",85,"Republican","yes","Timothy Nickels","TF"
"david wayne boyer jr",13141.21,"Representative",87,"Republican","yes","David Boyer Jr.","TF"
"quentin chapman",1789.89,"Representative",88,"Republican","yes","Quentin Chapman","TF"
"dana staples",239.59,"Representative",88,"Democratic","yes","Dana Staples","MCEA"
"adam r lee",5507.37,"Representative",89,"Democratic","yes","Adam Lee","TF"
"laurel libby",67238.91,"Representative",90,"Republican","yes","Laurel Libby (dropped out)","TF"
"james sorcek",128.56,"Representative",90,"Republican","yes","James Sorcek","MCEA"
"jeffrey timberlake",45.4,"Representative",91,"Republican","yes","Jeffrey Timberlake","TF"
"scott a harriman",1000,"Representative",94,"Democratic","yes","Scott Harriman","MCEA"
"kiernan innes majeruscollins",6394.89,"Representative",95,"Democratic","yes","Kiernan Majerus-Collins","TF"
"kerryl lee clement",999.63,"Representative",96,"Republican","yes","Kerryl Clement","MCEA"
"kilton mccarthy webb",954.65,"Representative",98,"Democratic","yes","Kilton Webb","MCEA"
"cheryl a golek",690.09,"Representative",99,"Democratic","yes","Cheryl Golek","MCEA"
"daniel joseph ankeles",975.88,"Representative",100,"Democratic","yes","Daniel Ankeles","MCEA"
"maura h pillsbury",997.44,"Representative",102,"Democratic","yes","Maura Pillsbury","MCEA"
"henry lawrence",16.84,"Representative",102,"Republican","yes","Henry Lawrence III","TF"
"karin orenstein",999.88,"Representative",103,"Democratic","yes","Karin Orenstein","MCEA"
"r melissa winslow",2578.58,"Representative",104,"Republican","yes","R. Winslow","TF"
"louis samuel pfeifle",893.28,"Representative",104,"Unenrolled","yes","Samuel Pfeifle","MCEA"
"bradley youngs",990.84,"Representative",106,"Democratic","yes","Bradley Youngs","MCEA"
"mark c cooper",690,"Representative",107,"Republican","yes","Mark Cooper","MCEA"
"diana kushnar",437,"Representative",109,"Republican","yes","Diana Kushnar","TF"
"amy d kuhn",949.81,"Representative",111,"Democratic","yes","Amy Kuhn","MCEA"
"sean mahoney",1000,"Representative",112,"Democratic","yes","Sean Mahoney","MCEA"
"samuel lewis zager",1000,"Representative",116,"Democratic","yes","Samuel Zager","MCEA"
"matthew moonen",2915,"Representative",117,"Democratic","yes","Matthew Moonen","TF"
"jason shedlock",10832.95,"Representative",120,"Democratic","yes","Jason Shedlock","TF"
"matthew d beck",4662.14,"Representative",122,"Democratic","yes","Matthew Beck","TF"
"mary shannon lindstrom",998.29,"Representative",124,"Unenrolled","yes","Mary Lindstrom","MCEA"
"ethan mongue",1727.2,"Representative",126,"Republican","yes","Ethan Mongue","TF"
"suzanne m salisbury",611.5,"Representative",128,"Democratic","yes","Suzanne Salisbury","TF"
"marshall archer",7584.68,"Representative",129,"Democratic","yes","Marshall Archer","TF"
"robert kelly",999.4,"Representative",131,"Democratic","yes","Robert Kelly","MCEA"
"ryan m fecteau",1324.19,"Representative",132,"Democratic","yes","Ryan Fecteau","TF"
"marc g malon ii",414.13,"Representative",133,"Democratic","yes","Marc Malon II","TF"
"allen anthony daggett",1292.48,"Representative",134,"Unenrolled","yes","Allen Daggett","TF"
"rachel mary phipps",1000,"Representative",135,"Democratic","yes","Rachel Phipps","MCEA"
"lisa pratt",946.86,"Representative",135,"Democratic","yes","Lisa Pratt","MCEA"
"nathan m carlow",1076.76,"Representative",137,"Republican","yes","Nathan Carlow","TF"
"charles edward tilburg",720.54,"Representative",137,"Democratic","yes","Charles Tilburg","MCEA"
"jamie k newton",493.55,"Representative",139,"Republican","yes","Jamie Newton","TF"
"wayne parry",9805.75,"Representative",140,"Republican","yes","Wayne Parry","TF"
"marc anthony boisse",2169.35,"Representative",141,"Republican","yes","Marc Boisse","TF"
"david roland mongeau ii",942.56,"Representative",141,"Unenrolled","yes","David Mongeau II","MCEA"
"john robert henkelman iii",999.37,"Representative",143,"Democratic","yes","John Henkelman","MCEA"
"corinna cole",49.25,"Representative",144,"Unenrolled","yes","Corinna Cole","MCEA"
"kristin tyra davis",1086.4,"Representative",145,"Democratic","yes","Kristin Davis","MCEA"
"caleb joseph chase",970.32,"Representative",145,"Republican","yes","Caleb Chase","MCEA"
"holly taylor sargent",890.37,"Representative",147,"Democratic","yes","Holly Sargent","MCEA"
"alexandros orestis",782.9,"Representative",150,"Democratic","yes","Alexandros Orestis","MCEA"
"mark frederick zimmer",193.58,"Representative",150,"Republican","yes","Mark Zimmer","MCEA"
"vaughn j mclaughlin",1575,"Senator",1,"Democratic","yes","Vaughn McLaughlin","MCEA"
"danny e costain",2975.35,"Senator",3,"Republican","yes","Danny Costain","TF"
