candidate_name,display_name,race,district,party,finance_type,total_raised
william king jr,"William King, Jr.",Representative,,,TF,0
valerie adams,Valerie Adams,Representative,,,TF,0
neil mclean jr,"Neil McLean, Jr.",Representative,,,TF,0
natasha c irving,Natasha C Irving,Representative,,,TF,0
roland poirier,Roland Poirier,Representative,,,TF,0
jason trundy,Jason Trundy,Representative,,,TF,0
kari wellspuckett,Kari Wells-Puckett,Representative,,,TF,0
patricia smith,Katrina Smith,Representative,62,,TF,0
eric white,Eric White,Representative,16,,TF,0
gary mcgrane,Gary McGrane,Representative,,,TF,0
adrienne paul,Adrienne Paul,Representative,85,Republican,MCEA,1000.0
daniel daley,Daniel Daley,Representative,10,Republican,TF,200.0
earl ireland,Earl Ireland,Representative,,,TF,0
jeffrey gilbert,Jeffrey Timberlake,Representative,91,,TF,0
walter voskian,Walter Voskian,Representative,,,TF,0
paul titcomb davis sr,"Paul Titcomb Davis, Sr.",Representative,,,TF,0
roch  angers,Roch  Angers,Representative,,,TF,0
doris ortiz,Doris Ortiz,Representative,,,TF,0
noel madore,Noel Madore,Representative,,,TF,0
anthony m weaver,Anthony Weaver,Representative,25,,MCEA,0
annalyse sarvinas,Annalyse Sarvinas,Representative,51,,MCEA,0
breanna pinkham bebb,Breanna Pinkham Bebb,Representative,,,TF,0
justin chenette,Justin Chenette,Representative,,,TF,0
robert carlton,Robert Cameron,Representative,121,,TF,0
nathan m carlow,Nathan Carlow,Representative,137,Republican,TF,1225.0
austin theriault,Austin Theriault,Representative,1,Republican,TF,16974.0
mathew david mcintyre,Mathew McIntyre,Representative,18,Republican,TF,3000.0
ambureen rana,Ambureen Rana,Representative,21,,MCEA,0
luke dylan jensen,Luke Jensen,Representative,96,,MCEA,0
sheila lyman,Sheila Lyman,Representative,76,,MCEA,0
edward glaser,Edward Glaser,Representative,,,TF,0
gordon bell,Gordon Bell,Representative,,,TF,0
arlie hetrick jr,Arlie Hetrick Jr.,Representative,77,,MCEA,0
charles edward tilburg,Charles Tilburg,Representative,137,Democratic,MCEA,1000.0
amy d kuhn,Amy Kuhn,Representative,111,Democratic,MCEA,950.0
amy j roeder,Amy Roeder,Senator,9,Democratic,MCEA,3100.0
caleb joshua ness,Caleb Ness,Representative,82,Republican,MCEA,1000.0
cheryl hewes,Cheryl Hewes,Senator,7,Republican,MCEA,3000.0
anne graham,Anne Graham,Representative,105,,MCEA,0
ayn hanselmann,Ayn Hanselmann,Representative,142,,MCEA,0
bradley moulton,Bradley Moulton,Representative,146,,MCEA,0
christopher alfred lewey,Christopher Lewey,Representative,82,Democratic,MCEA,1000.0
poppy t arford,Poppy Arford,Representative,101,Democratic,MCEA,408.32
cynthia somahernandez,Cynthia Soma-Hernandez,Representative,72,Democratic,MCEA,100.0
joshua d gerritsen,Joshua Gerritsen,Representative,41,Democratic,MCEA,1000.0
clinton phinney jr,Clinton Phinney Jr.,Representative,141,,MCEA,0
kimberly j pomerleau,Kimberly Pomerleau,Senator,22,Republican,MCEA,2680.0
tracy quint,Tracy Quint,Representative,8,,TF,0
dexter buzz bridges,Dexter Bridges Jr.,Representative,58,,MCEA,0
grayson lookner,Grayson Lookner,Representative,113,,MCEA,0
kelly maureen noonan murphy,Kelly Maureen Noonan Murphy,Representative,,,TF,0
samuel lewis zager,Samuel Zager,Representative,116,Democratic,MCEA,1000.0
john eder,John Eder,Representative,136,,TF,0
daniel sayre,Daniel Sayre,Senator,34,Democratic,MCEA,3055.0
azalea cormier,Azalea Cormier,Representative,,,MCEA,0
jill c duson,Jill Duson,Senator,27,Democratic,MCEA,1840.0
michael d perkins,Michael Perkins,Representative,66,,MCEA,0
flavia debrito,Flavia DeBrito,Representative,64,,MCEA,0
trent vellella,Trent Vellella,Representative,49,,MCEA,0
timothy nickels,Timothy Nickels,Representative,85,Republican,TF,1025.0
kenneth davis,Kenneth Davis Jr.,Senator,6,,MCEA,0
david wayne guilmette,David Guilmette,Representative,52,Republican,MCEA,920.0
cassandra anne dove,Cassandra Dove,Representative,84,Democratic,TF,200.0
scott a harriman,Scott Harriman,Representative,94,Democratic,MCEA,33315.76
ravi jackson,Ravi Jackson,Representative,101,,TF,0
harry white,Harry White,Senator,30,,TF,0
nancy theriault  special,Nancy Theriault,Representative,29,,TF,0
nancy mcdowellspecial,Nancy McDowell,Representative,29,,MCEA,0
dale lancaster,Shawn Lancaster,Representative,32,,TF,0
john alsop,John Alsop,Representative,,,TF,0
allison perkins,Allison Perkins,Representative,71,,TF,0
abigail geer,Abigail Geer,Representative,86,,MCEA,0
suzanne johnson,Suzanne Johnson,Representative,151,,TF,0
emily dingman,Emily Dingman,Representative,91,,TF,0
eric boothroyd,Eric Boothroyd,Representative,31,Democratic,TF,465.0
andrew zarro,Andrew Zarro,Representative,115,Democratic,TF,600.0
laura supica,Laura Supica,Representative,22,,TF,0
colleen oneal,Colleen O'Neal,Representative,22,,TF,0
jessica blanchard,Jessica Blanchard,Representative,69,,MCEA,0
denise tepler,Denise Tepler,Senator,24,Democratic,MCEA,4025.0
edward mathias kamin iii,Edward Mathias Kamin III,Representative,,,MCEA,0
john hansen,John Hansen,Representative,,,TF,0
richard g mason,Richard Mason,Senator,17,,TF,0
yusuf yusuf,Yusuf Yusuf,Representative,118,,TF,0
robin crawley,Robin Crawley,Representative,61,Democratic,TF,157.0
nathan burnett,Nathan Burnett,Senator,22,Democratic,MCEA,1789.2
jeff harris,Jeffrey Harris,Representative,58,,TF,0
monica cease,Monica Cease,Representative,,,TF,0
david corbett,David McCrea,Representative,3,,TF,0
eleanor sato,Eleanor Sato,Senator,30,Democratic,MCEA,3000.0
henry l ingwersen,Henry Ingwersen,Senator,32,Democratic,MCEA,2950.0
wyatt beaulieu,Wyatt Beaulieu,Representative,60,,MCEA,0
marygrace cimino,Marygrace Cimino,Representative,83,,TF,0
courtney hammond,Cory Raymond,Representative,41,,TF,0
steven mcgee,Steven McGee,Senator,14,,TF,0
bruce archer,Bruce Archer,Representative,5,,MCEA,0
james mcclymer,James McClymer,Representative,34,,TF,0
daniel simonds,Daniel Simonds,Representative,73,,MCEA,0
david potvin,David Potvin,Representative,57,,TF,0
brianna lueck,Brianna Lueck,Representative,79,,MCEA,0
timothy towne,Timothy Towne,Representative,149,,TF,0
gary mcgrane,Gary McGrane,Representative,,,TF,0
peter q jenks,Peter Jenks,Representative,43,Democratic,MCEA,1000.0
bradley youngs,Bradley Youngs,Representative,106,Democratic,MCEA,990.0
coreene baumann,Coreene Baumann,Representative,,,TF,0
sigrid ann olson,Sigrid Ann Olson,Representative,,,TF,0
dani ohalloran,Dani O'Halloran,Representative,20,Democratic,MCEA,1000.0
alan lee orcutt,Alan Orcutt,Representative,37,Democratic,MCEA,1000.0
keith newman,Keith Newman,Representative,11,,MCEA,0
traci gere,Traci Gere,Representative,134,,MCEA,0
mark walker,Mark Walker,Representative,84,,MCEA,0
rafael macias,Rafael Macias,Representative,51,,MCEA,0
richard marc goldman,Richard Goldman,Representative,53,Democratic,MCEA,1000.0
scott w cyrway,Scott Cyrway,Senator,16,Republican,MCEA,3000.0
timothy conrad guerrette,Timothy Guerrette,Representative,4,,MCEA,0
david ulrich,David Ulrich,Representative,19,,MCEA,0
kilton mccarthy webb,Kilton Webb,Representative,98,Democratic,MCEA,1000.0
derek allen levasseur,Derek Allen Levasseur,Governor,,Unenrolled,TF,1190.0
kiernan innes majeruscollins,Kiernan Majerus-Collins,Representative,95,Democratic,TF,8521.02
michael r scott,Michael Scott,Senator,20,Democratic,MCEA,3000.0
corinna cole,Corinna Cole,Representative,144,,MCEA,0
dennis mahar,Dennis Mahar,Representative,,,TF,0
brett barrett,Brett Barrett,Representative,100,,TF,0
clifton foster,Clifton Foster III,Representative,36,,MCEA,0
matthew kershaw,Matthew Kershaw,Representative,95,,MCEA,0
rolf arthur olsen jr,Rolf Olsen Jr.,Representative,86,,TF,0
melissa byer,Melissa Byer,Representative,42,Republican,TF,555.0
chris p austin,Christopher Austin,Representative,43,Republican,TF,4081.8
james berube,James Berube,Representative,89,,TF,0
andrew gattine,Andrew Gattine,Representative,126,,TF,0
dana marie appleby,Dana Appleby,Representative,1,,TF,0
william j st michel,William St. Michel,Representative,98,Republican,MCEA,1000.0
chester b grover iii,Chester Grover III,Representative,47,,MCEA,0
darlene perry,Darlene Perry,Representative,,,TF,0
alphonzo wagner iii,Alphonzo Wagner III,Representative,,,TF,0
henry lawrence,Henry Lawrence III,Representative,102,,TF,0
zachary anders wood,Zachary Wood,Senator,4,Republican,MCEA,1657.0
shawn saindon,Shawn Saindon,Representative,44,,MCEA,0
jean donovan,Jean Donovan,Representative,14,Republican,TF,146.0
braeden webber,Braeden Webber,Representative,99,,MCEA,0
scott girardin,Scott Harriman,Representative,94,,TF,0
dean lepage,Dean LePage,Representative,139,,MCEA,0
