"candidate","entity","total_paid","race","district","party","show_on_page","display_name","finance_type"
"shenna bellows","WestWest Digital",188873.43,"Governor",NA,"Democratic","yes","Shenna Bellows","TF"
"shenna bellows","Amy Weinstock",97632.71,"Governor",NA,"Democratic","yes","Shenna Bellows","TF"
"shenna bellows","Payroll Data Processing",82254.97,"Governor",NA,"Democratic","yes","Shenna Bellows","TF"
"shenna bellows","GBAO",56500,"Governor",NA,"Democratic","yes","Shenna Bellows","TF"
"shenna bellows","Elias Law Group",47777.8,"Governor",NA,"Democratic","yes","Shenna Bellows","TF"
"troy dale jackson","Sunny Day Strategies",118173.45,"Governor",NA,"Democratic","yes","Troy Jackson","TF"
"troy dale jackson","Internal Revenue Service",66544.72,"Governor",NA,"Democratic","yes","Troy Jackson","TF"
"troy dale jackson","Christine Kirby",54565.17,"Governor",NA,"Democratic","yes","Troy Jackson","TF"
"troy dale jackson","Kirby, Christine",48753.5,"Governor",NA,"Democratic","yes","Troy Jackson","TF"
"troy dale jackson","Hilltop Public Solutions",43949.68,"Governor",NA,"Democratic","yes","Troy Jackson","TF"
"austin theriault","Anedot",206.94,"Representative","1","Republican","yes","Austin Theriault","TF"
"austin theriault","Katahdin Trust Company",31.44,"Representative","1","Republican","yes","Austin Theriault","TF"
"daniel daley","Silas Schrader",1760,"Representative","10","Republican",NA,"Daniel Daley","Unknown"
"daniel daley","Spectrum Action/Kerry Marsh",686.94,"Representative","10","Republican",NA,"Daniel Daley","Unknown"
"daniel daley","Fundy Bay Printing",492.91,"Representative","10","Republican",NA,"Daniel Daley","Unknown"
"daniel daley","Jack Caricofe",390,"Representative","10","Republican",NA,"Daniel Daley","Unknown"
"daniel daley","US Cellular",135,"Representative","10","Republican",NA,"Daniel Daley","Unknown"
"daniel joseph ankeles","High Point Graphics and Printing",975.88,"Representative","100","Democratic","yes","Daniel Ankeles","MCEA"
"maura h pillsbury","CPH Insurance",176,"Representative","102","Democratic",NA,"Maura H Pillsbury","MCEA"
"maura h pillsbury","Squarespace Inc.",172.8,"Representative","102","Democratic",NA,"Maura H Pillsbury","MCEA"
"maura h pillsbury","Derosier's",164.71,"Representative","102","Democratic",NA,"Maura H Pillsbury","MCEA"
"maura h pillsbury","Dale Ran Printing",147.7,"Representative","102","Democratic",NA,"Maura H Pillsbury","MCEA"
"maura h pillsbury","Freeport Community Library",50,"Representative","102","Democratic",NA,"Maura H Pillsbury","MCEA"
"karin orenstein","SignRocket.com",372.65,"Representative","103","Democratic",NA,"Karin Orenstein","MCEA"
"karin orenstein","United States Postal Service",270.84,"Representative","103","Democratic",NA,"Karin Orenstein","MCEA"
"karin orenstein","Canva US, Inc.",121.33,"Representative","103","Democratic",NA,"Karin Orenstein","MCEA"
"karin orenstein","Dale Rand Printing",117.63,"Representative","103","Democratic",NA,"Karin Orenstein","MCEA"
"karin orenstein","Squarespace, Inc.",84,"Representative","103","Democratic",NA,"Karin Orenstein","MCEA"
"louis samuel pfeifle","Dale Rand Printing",601.35,"Representative","104","Unenrolled",NA,"Louis Samuel Pfeifle","MCEA"
"louis samuel pfeifle","United States Postal Service",259.74,"Representative","104","Unenrolled",NA,"Louis Samuel Pfeifle","MCEA"
"louis samuel pfeifle","Cumberland County Federal Credit Union",20,"Representative","104","Unenrolled",NA,"Louis Samuel Pfeifle","MCEA"
"louis samuel pfeifle","Go Daddy",12.19,"Representative","104","Unenrolled",NA,"Louis Samuel Pfeifle","MCEA"
"r melissa winslow","Spectrum Marketing",1277.5,"Representative","104","Republican",NA,"R. Melissa Winslow","TF"
"r melissa winslow","Print Mail of Maine",976.53,"Representative","104","Republican",NA,"R. Melissa Winslow","TF"
"r melissa winslow","AmVets",250,"Representative","104","Republican",NA,"R. Melissa Winslow","TF"
"r melissa winslow","Anendot",74.55,"Representative","104","Republican",NA,"R. Melissa Winslow","TF"
"bradley youngs","Dale Rand Printing",437.84,"Representative","106","Democratic",NA,"Bradley Youngs","MCEA"
"bradley youngs","Frame Media Strategies LLC",245,"Representative","106","Democratic",NA,"Bradley Youngs","MCEA"
"bradley youngs","Squarespace Inc.",186,"Representative","106","Democratic",NA,"Bradley Youngs","MCEA"
"bradley youngs","United States Postal Service - Raymond, ME",122,"Representative","106","Democratic",NA,"Bradley Youngs","MCEA"
"mark c cooper","Spectrum Marketing Companies",690,"Representative","107","Republican",NA,"Mark C. Cooper","MCEA"
"diana kushnar","Bogdanets Photo",250,"Representative","109","Republican",NA,"Diana Kushnar","TF"
"diana kushnar","Kopy Software LLC",107,"Representative","109","Republican",NA,"Diana Kushnar","TF"
"diana kushnar","Maine GOP",55,"Representative","109","Republican",NA,"Diana Kushnar","TF"
"diana kushnar","Cumberland County Republican Committee",25,"Representative","109","Republican",NA,"Diana Kushnar","TF"
"amy d kuhn","Dale Rand Printing",716.61,"Representative","111","Democratic",NA,"Amy D. Kuhn","MCEA"
"amy d kuhn","Staples",213.2,"Representative","111","Democratic",NA,"Amy D. Kuhn","MCEA"
"amy d kuhn","Squarespace",20,"Representative","111","Democratic",NA,"Amy D. Kuhn","MCEA"
"sean mahoney","Dale Rand Printing",928.41,"Representative","112","Democratic","yes","Sean Mahoney","MCEA"
"sean mahoney","Jennifer Mahoney",71.59,"Representative","112","Democratic","yes","Sean Mahoney","MCEA"
"samuel lewis zager","Mailings Unlimited",515,"Representative","116","Democratic",NA,"Samuel Lewis Zager","MCEA"
"samuel lewis zager","Dale Rand Printing",485,"Representative","116","Democratic",NA,"Samuel Lewis Zager","MCEA"
"matthew moonen","Matthew Moonen",2895,"Representative","117","Democratic","yes","Matthew Moonen","TF"
"matthew moonen","Ancorum Credit Union",20,"Representative","117","Democratic","yes","Matthew Moonen","TF"
"billy bob faulkingham","Spectrum Marketing Companies",425.97,"Representative","12","Republican",NA,"Billy Bob Faulkingham","TF"
"billy bob faulkingham","Anedot",270.2,"Representative","12","Republican",NA,"Billy Bob Faulkingham","TF"
"deqa abdi dhalac","Said Abdikarim",500,"Representative","120","Democratic",NA,"Deqa Abdi Dhalac","Unknown"
"deqa abdi dhalac","Pious Ali",250,"Representative","120","Democratic",NA,"Deqa Abdi Dhalac","Unknown"
"deqa abdi dhalac","Mohamed Omar",100,"Representative","120","Democratic",NA,"Deqa Abdi Dhalac","Unknown"
"deqa abdi dhalac","Rick Bennett",100,"Representative","120","Democratic",NA,"Deqa Abdi Dhalac","Unknown"
"jason shedlock","Stephanie Perkins Clifford, LLC",3500,"Representative","120","Democratic","yes","Jason Shedlock","Unknown"
"jason shedlock","Douglas Strategic Media Arts, LLC",2291.25,"Representative","120","Democratic","yes","Jason Shedlock","Unknown"
"jason shedlock","Dale Rand Printing",2176.6,"Representative","120","Democratic","yes","Jason Shedlock","Unknown"
"jason shedlock","Sarah Louden",1500,"Representative","120","Democratic","yes","Jason Shedlock","Unknown"
"jason shedlock","Sara Lennon",692,"Representative","120","Democratic","yes","Jason Shedlock","Unknown"
"matthew d beck","Matt Beck",3868.42,"Representative","122","Democratic","yes","Matthew Beck","Unknown"
"matthew d beck","Squarespace, Inc.",252,"Representative","122","Democratic","yes","Matthew Beck","Unknown"
"matthew d beck","Jason Shedlock for Maine House",250,"Representative","122","Democratic","yes","Matthew Beck","Unknown"
"matthew d beck","Squarespace Inc.",192,"Representative","122","Democratic","yes","Matthew Beck","Unknown"
"matthew d beck","Coast Line Credit Union",99.72,"Representative","122","Democratic","yes","Matthew Beck","Unknown"
"ethan mongue","Spectrum Marketing Companies",1717,"Representative","126","Republican",NA,"Ethan Mongue","TF"
"ethan mongue","Anedot",10.2,"Representative","126","Republican",NA,"Ethan Mongue","TF"
"suzanne m salisbury","The Locker Project",550,"Representative","128","Democratic",NA,"Suzanne M. Salisbury","MCEA"
"suzanne m salisbury","T D Bank",61.5,"Representative","128","Democratic",NA,"Suzanne M. Salisbury","MCEA"
"marshall archer","Marshall Archer",5401.24,"Representative","129","Democratic","yes","Marshall Archer","TF"
"marshall archer","Best Buy",2173.44,"Representative","129","Democratic","yes","Marshall Archer","TF"
"marshall archer","City of Saco",10,"Representative","129","Democratic","yes","Marshall Archer","TF"
"russell p white","Spectrum Marketing Companies",1000,"Representative","13","Republican",NA,"Russell P. White","Unknown"
"robert kelly","Sign Depot",451.87,"Representative","131","Democratic",NA,"Robert Kelly","Unknown"
"robert kelly","dale rand Printing",225.77,"Representative","131","Democratic",NA,"Robert Kelly","Unknown"
"robert kelly","United States Post Office",191.86,"Representative","131","Democratic",NA,"Robert Kelly","Unknown"
"robert kelly","BannersInVinyl.com",109.9,"Representative","131","Democratic",NA,"Robert Kelly","Unknown"
"robert kelly","Squarespace, Inc.",20,"Representative","131","Democratic",NA,"Robert Kelly","Unknown"
"ryan m fecteau","Ryan Fecteau",1319.25,"Representative","132","Democratic","yes","Ryan Fecteau","Unknown"
"ryan m fecteau","ACTBLUE MAINE",4.94,"Representative","132","Democratic","yes","Ryan Fecteau","Unknown"
"marc g malon ii","Shaun Donnelly",200,"Representative","133","Democratic","yes","Marc Malon II","Unknown"
"marc g malon ii","Amplify Maine Consulting",138,"Representative","133","Democratic","yes","Marc Malon II","Unknown"
"marc g malon ii","ActBlue Technical Services",64.06,"Representative","133","Democratic","yes","Marc Malon II","Unknown"
"marc g malon ii","Copy It",11.08,"Representative","133","Democratic","yes","Marc Malon II","Unknown"
"marc g malon ii","ACTBLUE MAINE",0.99,"Representative","133","Democratic","yes","Marc Malon II","Unknown"
"marc malon ii","Marc Malon",216.16,"Representative","133","Democratic",NA,"Marc Malon, Ii","Unknown"
"allen anthony daggett","Spectrum Marketing",1218,"Representative","134","Unenrolled","yes","Allen Daggett","TF"
"allen anthony daggett","Harland Clarke",40.5,"Representative","134","Unenrolled","yes","Allen Daggett","TF"
"allen anthony daggett","Amazon",32.68,"Representative","134","Unenrolled","yes","Allen Daggett","TF"
"allen anthony daggett","Anedot",1.3,"Representative","134","Unenrolled","yes","Allen Daggett","TF"
"elizabeth a jordan","York County Republican Committee",400,"Representative","134","Republican",NA,"Elizabeth A. Jordan","Unknown"
"lisa pratt","Frame Media Strategies",530,"Representative","135","Democratic",NA,"Lisa Pratt","MCEA"
"lisa pratt","Squarespace",192,"Representative","135","Democratic",NA,"Lisa Pratt","MCEA"
"lisa pratt","Dale Rand Printing",120.27,"Representative","135","Democratic",NA,"Lisa Pratt","MCEA"
"lisa pratt","Staples",52.74,"Representative","135","Democratic",NA,"Lisa Pratt","MCEA"
"lisa pratt","United States Postal Service",51.85,"Representative","135","Democratic",NA,"Lisa Pratt","MCEA"
"rachel mary phipps","Edison Press",1000,"Representative","135","Democratic",NA,"Rachel Mary Phipps","MCEA"
"charles edward tilburg","Dale Rand Printing",211,"Representative","137","Democratic","yes","Nathan Carlow","MCEA"
"charles edward tilburg","Square Space",144,"Representative","137","Democratic","yes","Nathan Carlow","MCEA"
"charles edward tilburg","Forever Stamps",99.98,"Representative","137","Democratic","yes","Nathan Carlow","MCEA"
"charles edward tilburg","Charles Tilburg",94.94,"Representative","137","Democratic","yes","Nathan Carlow","MCEA"
"charles edward tilburg","Jim Boutin",79.13,"Representative","137","Democratic","yes","Nathan Carlow","MCEA"
"nathan m carlow","Facebook/Meta Platforms",300,"Representative","137","Republican",NA,"Nathan M. Carlow","Unknown"
"nathan m carlow","Vistaprint",246.61,"Representative","137","Republican",NA,"Nathan M. Carlow","Unknown"
"nathan m carlow","USPS United States Postal Service",230,"Representative","137","Republican",NA,"Nathan M. Carlow","Unknown"
"nathan m carlow","Walmart Scarborough",99.69,"Representative","137","Republican",NA,"Nathan M. Carlow","Unknown"
"nathan m carlow","USPS United States Postal BAR MILLS",78,"Representative","137","Republican",NA,"Nathan M. Carlow","Unknown"
"mark j blier","York County Republican Committee",400,"Representative","138","Republican",NA,"Mark J. Blier","Unknown"
"mark j blier","Carolyn Fish",250,"Representative","138","Republican",NA,"Mark J. Blier","Unknown"
"david c woodsome","Jamie Newton",500,"Representative","139","Republican",NA,"David C. Woodsome","Unknown"
"david c woodsome","Matt Harrington",500,"Representative","139","Republican",NA,"David C. Woodsome","Unknown"
"david c woodsome","Tyler Woodsome Scholarship Fund",500,"Representative","139","Republican",NA,"David C. Woodsome","Unknown"
"david c woodsome","York County Republican Committee",400,"Representative","139","Republican",NA,"David C. Woodsome","Unknown"
"david c woodsome","YMCA Southern Maine",320,"Representative","139","Republican",NA,"David C. Woodsome","Unknown"
"jamie k newton","Signarama",297.67,"Representative","139","Republican","yes","Jamie Newton","TF"
"jamie k newton","RSD Graphics",131.88,"Representative","139","Republican","yes","Jamie Newton","TF"
"jamie k newton","USPS",64,"Representative","139","Republican","yes","Jamie Newton","TF"
"wayne parry","Wayne Parry",9309.65,"Representative","140","Republican",NA,"Wayne Parry","TF"
"wayne parry","Carolyn Fish",475,"Representative","140","Republican",NA,"Wayne Parry","TF"
"wayne parry","Anedot",21.1,"Representative","140","Republican",NA,"Wayne Parry","TF"
"lucas john lanigan","Lucas J Lanigan",690,"Representative","141","Republican",NA,"Lucas John Lanigan","Unknown"
"lucas john lanigan","Simon C Lanigan",300,"Representative","141","Republican",NA,"Lucas John Lanigan","Unknown"
"marc anthony boisse","Spectrum Marketing",1058.5,"Representative","141","Republican",NA,"Marc Anthony Boisse","TF"
"marc anthony boisse","spectrum marketing",583,"Representative","141","Republican",NA,"Marc Anthony Boisse","TF"
"marc anthony boisse","Acton Post Office",261,"Representative","141","Republican",NA,"Marc Anthony Boisse","TF"
"marc anthony boisse","Boonies",83.3,"Representative","141","Republican",NA,"Marc Anthony Boisse","TF"
"marc anthony boisse","Copy Kats Print and Design",81.9,"Representative","141","Republican",NA,"Marc Anthony Boisse","TF"
"annemarie mastraccio","Strategies for a Stronger Sanford-Sanford Backpack Program",303.52,"Representative","142","Democratic",NA,"Anne-Marie Mastraccio","Unknown"
"ann marie fredericks","Vista Print",753.24,"Representative","143","Republican",NA,"Ann Marie Fredericks","Unknown"
"ann marie fredericks","Paul Lepage for Congress",250,"Representative","143","Republican",NA,"Ann Marie Fredericks","Unknown"
"ann marie fredericks","david jones for governon",250,"Representative","143","Republican",NA,"Ann Marie Fredericks","Unknown"
"ann marie fredericks","john Andrews",250,"Representative","143","Republican",NA,"Ann Marie Fredericks","Unknown"
"ann marie fredericks","ACTBLUE MAINE",134,"Representative","143","Republican",NA,"Ann Marie Fredericks","Unknown"
"john robert henkelman iii","Copy Kats",526.87,"Representative","143","Democratic","yes","John Henkelman","Unknown"
"john robert henkelman iii","United States Postal Service (USPS)",374.3,"Representative","143","Democratic","yes","John Henkelman","Unknown"
"john robert henkelman iii","Squarespace, Inc.",75,"Representative","143","Democratic","yes","John Henkelman","Unknown"
"john robert henkelman iii","Microsoft Corporation",23.2,"Representative","143","Democratic","yes","John Henkelman","Unknown"
"jeffrey sean adams","Jeffrey Adams",371.49,"Representative","144","Republican",NA,"Jeffrey Sean Adams","Unknown"
"caleb joseph chase","Spectrum Marketing Companies",710,"Representative","145","Republican",NA,"Caleb Joseph Chase","MCEA"
"caleb joseph chase","Cali Dale Photography",200,"Representative","145","Republican",NA,"Caleb Joseph Chase","MCEA"
"caleb joseph chase","Vista Print",31.63,"Representative","145","Republican",NA,"Caleb Joseph Chase","MCEA"
"caleb joseph chase","Rubberstamps.com",23.69,"Representative","145","Republican",NA,"Caleb Joseph Chase","MCEA"
"caleb joseph chase","Kennebunk Savings Bank",5,"Representative","145","Republican",NA,"Caleb Joseph Chase","MCEA"
"kristin tyra davis","FRAME MEDIA STRATEGIES",387.2,"Representative","145","Democratic",NA,"Kristin Tyra Davis","MCEA"
"kristin tyra davis","DALE RAND PRINTING",290.13,"Representative","145","Democratic",NA,"Kristin Tyra Davis","MCEA"
"kristin tyra davis","SQUARESPACE",226,"Representative","145","Democratic",NA,"Kristin Tyra Davis","MCEA"
