"candidate","entity","total_paid","race","district","party","show_on_page","display_name","finance_type"
"david h mccrea","County Quik Print",357.5,"Representative","3","Democratic",NA,"David H. Mccrea","MCEA"
"james lee white","Carolyn A Fish",475,"Representative","30","Republican","yes","James White","TF"
"james lee white","James White",252.5,"Representative","30","Republican","yes","James White","TF"
"james lee white","Walmart",167.75,"Representative","30","Republican","yes","James White","TF"
"james lee white","senator inn",165.66,"Representative","30","Republican","yes","James White","TF"
"james lee white","AE Robinson",62.5,"Representative","30","Republican","yes","James White","TF"
"andrew r torbett","Imprint.com/Netbrands Media Corp.",473.52,"Representative","31","Republican","yes","Andrew Torbett","TF"
"andrew r torbett","Andrew R Torbett",317,"Representative","31","Republican","yes","Andrew Torbett","TF"
"andrew r torbett","Vistaprint",243.23,"Representative","31","Republican","yes","Andrew Torbett","TF"
"andrew r torbett","Maine Highlands FCU",33,"Representative","31","Republican","yes","Andrew Torbett","TF"
"andrew r torbett","Town of Sebec",3.25,"Representative","31","Republican","yes","Andrew Torbett","TF"
"chad r perkins","Chad Perkins",150.14,"Representative","31","Republican",NA,"Chad R. Perkins","Unknown"
"shawn leroy lancaster","Dexter Print Shop",509.27,"Representative","32","Republican","yes","Shawn Lancaster","TF"
"shawn leroy lancaster","Maine Republican Party",55,"Representative","32","Republican","yes","Shawn Lancaster","TF"
"shawn leroy lancaster","Deluxe Check",29,"Representative","32","Republican","yes","Shawn Lancaster","TF"
"kenneth wade fredette","Rolling Thunder Express",219.3,"Representative","33","Republican","yes","Kenneth Fredette","TF"
"kenneth wade fredette","Sebasticook Valley Federal Credit Union",2,"Representative","33","Republican","yes","Kenneth Fredette","TF"
"stacey kay guerin","Spectrum Marketing Co.",522,"Representative","34","Republican",NA,"Stacey Kay Guerin","TF"
"stacey kay guerin","Joe Guerin for Maine Senate",500,"Representative","34","Republican",NA,"Stacey Kay Guerin","TF"
"stacey kay guerin","Penobscot Republican Committee",80,"Representative","34","Republican",NA,"Stacey Kay Guerin","TF"
"stacey kay guerin","Maine Republican Party",45,"Representative","34","Republican",NA,"Stacey Kay Guerin","TF"
"kimberly m haggan","Spectrum Marketing Companies",1000,"Representative","36","Republican",NA,"Kimberly M. Haggan","Unknown"
"alan lee orcutt","FRAME Media Strategies LLC",805.94,"Representative","37","Democratic",NA,"Alan Lee Orcutt","MCEA"
"alan lee orcutt","J Black Printing",145.06,"Representative","37","Democratic",NA,"Alan Lee Orcutt","MCEA"
"alan lee orcutt","Squarespace, Inc",25,"Representative","37","Democratic",NA,"Alan Lee Orcutt","MCEA"
"alan lee orcutt","Key Bank NA",24,"Representative","37","Democratic",NA,"Alan Lee Orcutt","MCEA"
"reagan leeann paul","Go Daddy",387.72,"Representative","37","Republican",NA,"Reagan Leeann Paul","Unknown"
"reagan leeann paul","Microsoft Corporation",105.49,"Representative","37","Republican",NA,"Reagan Leeann Paul","Unknown"
"benjamin charles hymes","Knox Booster Club",300,"Representative","38","Republican",NA,"Benjamin Charles Hymes","Unknown"
"benjamin charles hymes","Michaels Craft Store",106.76,"Representative","38","Republican",NA,"Benjamin Charles Hymes","Unknown"
"benjamin charles hymes","BJ Wholesale",102.39,"Representative","38","Republican",NA,"Benjamin Charles Hymes","Unknown"
"madison cook","J Black Printing",286.48,"Representative","39","Democratic",NA,"Madison Cook","MCEA"
"madison cook","Walgreens",105.08,"Representative","39","Democratic",NA,"Madison Cook","MCEA"
"madison cook","Staples",70.67,"Representative","39","Democratic",NA,"Madison Cook","MCEA"
"madison cook","Squarespace, inc.",70,"Representative","39","Democratic",NA,"Madison Cook","MCEA"
"madison cook","Fiddlehead Artisan",41.94,"Representative","39","Democratic",NA,"Madison Cook","MCEA"
"michael j nicholson","Wix.com",468,"Representative","39","Republican","yes","Michael Nicholson","TF"
"d michael ray","Frame Stategies",375,"Representative","40","Democratic",NA,"D. Michael Ray","Unknown"
"d michael ray","Squarespace",296,"Representative","40","Democratic",NA,"D. Michael Ray","Unknown"
"d michael ray","United States Postal Service",182,"Representative","40","Democratic",NA,"D. Michael Ray","Unknown"
"d michael ray","American Legion Post # 43",100,"Representative","40","Democratic",NA,"D. Michael Ray","Unknown"
"d michael ray","Amazon",39.23,"Representative","40","Democratic",NA,"D. Michael Ray","Unknown"
"cory raymond","Jeremy Lizzio",300,"Representative","41","Republican",NA,"Cory Raymond","Unknown"
"cory raymond","Queensboro",217.4,"Representative","41","Republican",NA,"Cory Raymond","Unknown"
"cory raymond","Buildasign",109.93,"Representative","41","Republican",NA,"Cory Raymond","Unknown"
"cory raymond","Home Depot",39.41,"Representative","41","Republican",NA,"Cory Raymond","Unknown"
"cory raymond","Circle k",23.5,"Representative","41","Republican",NA,"Cory Raymond","Unknown"
"joshua d gerritsen","FRAME Media Strategies",612.7,"Representative","41","Democratic","yes","Joshua Gerritsen","Unknown"
"joshua d gerritsen","Staples",198.3,"Representative","41","Democratic","yes","Joshua Gerritsen","Unknown"
"joshua d gerritsen","Squarespace",139,"Representative","41","Democratic","yes","Joshua Gerritsen","Unknown"
"joshua d gerritsen","United States Postal Service",2.55,"Representative","41","Democratic","yes","Joshua Gerritsen","Unknown"
"jamie lee hopkins","Squarespace, Inc",344,"Representative","42","Republican",NA,"Jamie Lee Hopkins","Unknown"
"jamie lee hopkins","TD Bank",138.98,"Representative","42","Republican",NA,"Jamie Lee Hopkins","Unknown"
"melissa byer","USPS",64,"Representative","42","Republican",NA,"Melissa Byer","TF"
"melissa byer","Wix.com",58.8,"Representative","42","Republican",NA,"Melissa Byer","TF"
"melissa byer","Staples",26.36,"Representative","42","Republican",NA,"Melissa Byer","TF"
"chris p austin","Adventure Advertising",1097.2,"Representative","43","Republican","yes","Christopher Austin","Unknown"
"chris p austin","WinRed Processing, LLC",33.77,"Representative","43","Republican","yes","Christopher Austin","Unknown"
"chris p austin","Winred",3.94,"Representative","43","Republican","yes","Christopher Austin","Unknown"
"michael sweeny flanagan","Adventure Advertising",780.71,"Representative","43","Republican","yes","Michael Flanagan","MCEA"
"michael sweeny flanagan","Staples",187.86,"Representative","43","Republican","yes","Michael Flanagan","MCEA"
"michael sweeny flanagan","UNITED STATES POST OFFICE",31.2,"Representative","43","Republican","yes","Michael Flanagan","MCEA"
"peter q jenks","Capitol Promotions Inc.",591,"Representative","43","Democratic",NA,"Peter Q. Jenks","MCEA"
"peter q jenks","The Lincoln County News",279.59,"Representative","43","Democratic",NA,"Peter Q. Jenks","MCEA"
"peter q jenks","Squarespace Inc.",50,"Representative","43","Democratic",NA,"Peter Q. Jenks","MCEA"
"peter q jenks","Camden National Bank",5,"Representative","43","Democratic",NA,"Peter Q. Jenks","MCEA"
"rhiannon hampson","Capitol Promotions Inc",711,"Representative","43","Democratic",NA,"Rhiannon Hampson","TF"
"brady alden clark","Rockland Post Master",156,"Representative","44","Republican",NA,"Brady Alden Clark","TF"
"clinton collamore","USPS",200,"Representative","45","Unenrolled",NA,"Clinton Collamore","TF"
"clinton collamore","Hannafords",189.71,"Representative","45","Unenrolled",NA,"Clinton Collamore","TF"
"clinton collamore","Sincere Corporation - Punchbowl",95.88,"Representative","45","Unenrolled",NA,"Clinton Collamore","TF"
"clinton collamore","Hannahford's",92.94,"Representative","45","Unenrolled",NA,"Clinton Collamore","TF"
"clinton collamore","Amazon",69.62,"Representative","45","Unenrolled",NA,"Clinton Collamore","TF"
"rebecca stephens","Andeot",298.9,"Representative","45","Republican","yes","Rebecca Stephens","TF"
"rebecca stephens","Camden National Bank",3,"Representative","45","Republican","yes","Rebecca Stephens","TF"
"kristine a poland","Supplies Unlimited",570.44,"Representative","46","Unenrolled",NA,"Kristine A. Poland","MCEA"
"kristine a poland","Zazzle",262.02,"Representative","46","Unenrolled",NA,"Kristine A. Poland","MCEA"
"kristine a poland","United States Postal Service",124.75,"Representative","46","Unenrolled",NA,"Kristine A. Poland","MCEA"
"kristine a poland","VistaPrint",24.24,"Representative","46","Unenrolled",NA,"Kristine A. Poland","MCEA"
"kristine a poland","Town of Damariscotta",5,"Representative","46","Unenrolled",NA,"Kristine A. Poland","MCEA"
"wayne k farrin","Frame Media Strategies",896.61,"Representative","47","Democratic",NA,"Wayne K. Farrin","MCEA"
"wayne k farrin","Lincoln County News",103.39,"Representative","47","Democratic",NA,"Wayne K. Farrin","MCEA"
"charlotte nutt","Frame Strategies",550,"Representative","48","Democratic","yes","Charlotte Nutt","MCEA"
"charlotte nutt","Lincoln County Publishing",155.09,"Representative","48","Democratic","yes","Charlotte Nutt","MCEA"
"charlotte nutt","Square Space",153.6,"Representative","48","Democratic","yes","Charlotte Nutt","MCEA"
"charlotte nutt","United States Poastal Service",99,"Representative","48","Democratic","yes","Charlotte Nutt","MCEA"
"charlotte nutt","Staples",29.53,"Representative","48","Democratic","yes","Charlotte Nutt","MCEA"
"david wayne guilmette","Misjefus Holdings, LLC",474.75,"Representative","52","Republican",NA,"David Wayne Guilmette","MCEA"
"david wayne guilmette","Quality Copy & Digital Print",151.85,"Representative","52","Republican",NA,"David Wayne Guilmette","MCEA"
"david wayne guilmette","American Legion Hall, Post #132",125,"Representative","52","Republican",NA,"David Wayne Guilmette","MCEA"
"david wayne guilmette","Staples",94.12,"Representative","52","Republican",NA,"David Wayne Guilmette","MCEA"
"david wayne guilmette","Town of Richmond",60,"Representative","52","Republican",NA,"David Wayne Guilmette","MCEA"
"michael h lemelin","Michael Lemelin",2278.75,"Representative","53","Republican",NA,"Michael H. Lemelin","Unknown"
"richard marc goldman","Lincoln County Publishing Co",310.67,"Representative","53","Democratic",NA,"Richard Marc Goldman","Unknown"
"richard marc goldman","US Post Office",238,"Representative","53","Democratic",NA,"Richard Marc Goldman","Unknown"
"richard marc goldman","Frame Media Strategies LLC",170,"Representative","53","Democratic",NA,"Richard Marc Goldman","Unknown"
"richard marc goldman","Linda Hermans",156.53,"Representative","53","Democratic",NA,"Richard Marc Goldman","Unknown"
"richard marc goldman","Maine Hosting Solutions",124.8,"Representative","53","Democratic",NA,"Richard Marc Goldman","Unknown"
"charles hippler iv","Netlify",13.99,"Representative","55","Republican",NA,"Charles Hippler, Iv","Unknown"
"charles hippler iv","Anedot",4.3,"Representative","55","Republican",NA,"Charles Hippler, Iv","Unknown"
"maureen aucoin","Staples",263.74,"Representative","55","Democratic",NA,"Maureen Aucoin","MCEA"
"maureen aucoin","Quarry Tap Room",250,"Representative","55","Democratic",NA,"Maureen Aucoin","MCEA"
"maureen aucoin","United States Postal Service",233,"Representative","55","Democratic",NA,"Maureen Aucoin","MCEA"
"maureen aucoin","Square Space, Inc.",86,"Representative","55","Democratic",NA,"Maureen Aucoin","MCEA"
"maureen aucoin","Quality Copy, Inc.",75.96,"Representative","55","Democratic",NA,"Maureen Aucoin","MCEA"
"steven butterfield","Capitol Promotions",558,"Representative","55","Democratic",NA,"Steven Butterfield","Unknown"
"steven butterfield","Staples",168.76,"Representative","55","Democratic",NA,"Steven Butterfield","Unknown"
"steven butterfield","GoDaddy",133.46,"Representative","55","Democratic",NA,"Steven Butterfield","Unknown"
"steven butterfield","US Post Office",80.55,"Representative","55","Democratic",NA,"Steven Butterfield","Unknown"
"sharon c frost","Squarespace",212,"Representative","58","Unenrolled","yes","Sharon Frost","TF"
"sharon c frost","Anedot",89.81,"Representative","58","Unenrolled","yes","Sharon Frost","TF"
"john reny","Augusta Republican Committee",250,"Representative","59","Republican","yes","John Reny","MCEA"
"wendy lee macdowell","KENNEBEC COUNTY REPUBLICAN COMMITTEE",200,"Representative","60","Republican",NA,"Wendy Lee Macdowell","Unknown"
"wendy lee macdowell","Best Buy",82.28,"Representative","60","Republican",NA,"Wendy Lee Macdowell","Unknown"
"wendy lee macdowell","Maine GOP",40,"Representative","60","Republican",NA,"Wendy Lee Macdowell","Unknown"
"wendy lee macdowell","Maine Republican Party",20,"Representative","60","Republican",NA,"Wendy Lee Macdowell","Unknown"
"wendy lee macdowell","Blue seal",12.65,"Representative","60","Republican",NA,"Wendy Lee Macdowell","Unknown"
"william r bridgeo","Capital Consulting, LLC",840,"Representative","60","Democratic",NA,"William R. Bridgeo","MCEA"
"william r bridgeo","United States Postal Service",156,"Representative","60","Democratic",NA,"William R. Bridgeo","MCEA"
"alicia c collins","Alicia C Collins",4844.06,"Representative","61","Republican",NA,"Alicia C Collins","Unknown"
"alicia c collins","Calvary Chapel Augusta",1000,"Representative","61","Republican",NA,"Alicia C Collins","Unknown"
"alicia c collins","Best Buy",179.99,"Representative","61","Republican",NA,"Alicia C Collins","Unknown"
"alicia c collins","Canva",89.94,"Representative","61","Republican",NA,"Alicia C Collins","Unknown"
"katrina j smith","Wix, Inc",192,"Representative","62","Republican",NA,"Katrina J Smith","TF"
"katrina j smith","Constant Contact",151.92,"Representative","62","Republican",NA,"Katrina J Smith","TF"
"katrina j smith","Zoom",150.62,"Representative","62","Republican",NA,"Katrina J Smith","TF"
"katrina j smith","USPS online",44,"Representative","62","Republican",NA,"Katrina J Smith","TF"
"katrina j smith","USPS",42,"Representative","62","Republican",NA,"Katrina J Smith","TF"
"pamela jo swift","Frame Media Strategies",819,"Representative","62","Democratic",NA,"Pamela Jo Swift","MCEA"
"paul r flynn","Paul R Flynn",3187.43,"Representative","63","Republican","yes","Paul Flynn","TF"
"paul r flynn","Knox Boosters Club",500,"Representative","63","Republican","yes","Paul Flynn","TF"
"paul r flynn","The Gem Foundation",250,"Representative","63","Republican","yes","Paul Flynn","TF"
"paul r flynn","Albion Library Trust",200,"Representative","63","Republican","yes","Paul Flynn","TF"
"paul r flynn","American Lung Foundation",103.5,"Representative","63","Republican","yes","Paul Flynn","TF"
"flavia m debrito","Webador",94.5,"Representative","64","Democratic",NA,"Flavia M. Debrito","Unknown"
"shawn michael packard","Spectrum Marketing",276.91,"Representative","64","Republican","yes","Shawn Packard","TF"
"shawn michael packard","Maine Republican Party",275,"Representative","64","Republican","yes","Shawn Packard","TF"
"shawn michael packard","Mid-Maine Chamber Of Commerce",275,"Representative","64","Republican","yes","Shawn Packard","TF"
"shawn michael packard","SBS Carbon Copy",234.74,"Representative","64","Republican","yes","Shawn Packard","TF"
"shawn michael packard","Bromar",155.4,"Representative","64","Republican","yes","Shawn Packard","TF"
"cassie l julia","Saturn Business Services",305.95,"Representative","65","Democratic",NA,"Cassie L. Julia","Unknown"
"cassie l julia","Ramsey Stevens / KeoKai Stevens Photography",300,"Representative","65","Democratic",NA,"Cassie L. Julia","Unknown"
"cassie l julia","Good Guy Signs",265.5,"Representative","65","Democratic",NA,"Cassie L. Julia","Unknown"
"robert w nutting","Carolyn Fish",475,"Representative","66","Republican",NA,"Robert W Nutting","Unknown"
"robert w nutting","Janet Beaudoin",250,"Representative","66","Republican",NA,"Robert W Nutting","Unknown"
"robert w nutting","Camden National Bank",35,"Representative","66","Republican",NA,"Robert W Nutting","Unknown"
"matthew channing townsend","Frame Strategies",295.32,"Representative","67","Democratic",NA,"Matthew Channing Townsend","MCEA"
"matthew channing townsend","USPS",246.75,"Representative","67","Democratic",NA,"Matthew Channing Townsend","MCEA"
"matthew channing townsend","SBS Carbon Copy",223.71,"Representative","67","Democratic",NA,"Matthew Channing Townsend","MCEA"
"matthew channing townsend","Squarespace",125,"Representative","67","Democratic",NA,"Matthew Channing Townsend","MCEA"
"matthew channing townsend","Sonny's Pizza",108.25,"Representative","67","Democratic",NA,"Matthew Channing Townsend","MCEA"
"shawn m dixon","Red Claw Media, LLC",500,"Representative","67","Republican",NA,"Shawn M. Dixon","TF"
"shawn m dixon","Skowhegan Savings Bank",10,"Representative","67","Republican",NA,"Shawn M. Dixon","TF"
"amanda noelle collamore","Hobby Lobby",52.78,"Representative","68","Republican",NA,"Amanda Noelle Collamore","Unknown"
"amanda noelle collamore","Michaels",9.48,"Representative","68","Republican",NA,"Amanda Noelle Collamore","Unknown"
"brian j blake","morning sentinel",233.3,"Representative","68","Democratic",NA,"Brian J. Blake","Unknown"
"dean a cray","Staples",748.78,"Representative","69","Republican",NA,"Dean A. Cray","Unknown"
"jantzen stephen craine","Vistaprint",1552.85,"Representative","7","Republican",NA,"Jantzen Stephen Craine","TF"
"jantzen stephen craine","Jackett Enterprises Inc.",905.19,"Representative","7","Republican",NA,"Jantzen Stephen Craine","TF"
"jantzen stephen craine","Meta Platforms, Inc.",205.49,"Representative","7","Republican",NA,"Jantzen Stephen Craine","TF"
"jantzen stephen craine","Wix.com",174,"Representative","7","Republican",NA,"Jantzen Stephen Craine","TF"
"jantzen stephen craine","Printful, Inc.",154.35,"Representative","7","Republican",NA,"Jantzen Stephen Craine","TF"
"jennifer lynn poirier","Jennifer Poirier",134.46,"Representative","70","Republican",NA,"Jennifer Lynn Poirier","TF"
"john e ducharme iii","John E Ducharme III",106.43,"Representative","71","Republican","yes","John Ducharme III","Unknown"
"john e ducharme iii","Dunkin'",96.51,"Representative","71","Republican","yes","John Ducharme III","Unknown"
"john e ducharme iii","Bromar Printing",90.73,"Representative","71","Republican","yes","John Ducharme III","Unknown"
"john e ducharme iii","USPS",78,"Representative","71","Republican","yes","John Ducharme III","Unknown"
"john e ducharme iii","Maine GOP",45,"Representative","71","Republican","yes","John Ducharme III","Unknown"
"douglas a thomas","Bangor Latter Shop Inc",948,"Representative","72","Republican","yes","Douglas Thomas","MCEA"
"douglas a thomas","Somerset County Republican Committee",50,"Representative","72","Republican","yes","Douglas Thomas","MCEA"
"douglas a thomas","Maine Highlands Federal Credit Union",2,"Representative","72","Republican","yes","Douglas Thomas","MCEA"
"ryan morgan","Spectrum Marketing",545,"Representative","73","Republican",NA,"Ryan Morgan","TF"
"russell john black","Spectrum Marketing Co.",880,"Representative","74","Republican",NA,"Russell John Black","MCEA"
"russell john black","Wilton US Postal Service",78,"Representative","74","Republican",NA,"Russell John Black","MCEA"
"russell john black","Franklin Savings Bank",35,"Representative","74","Republican",NA,"Russell John Black","MCEA"
"randall douglas gauvin","Mainly Strategies",1000,"Representative","75","Republican","yes","Randall Gauvin","TF"
"randall douglas gauvin","Ray Richardson",350,"Representative","75","Republican","yes","Randall Gauvin","TF"
"randall douglas gauvin","Facebook",168.08,"Representative","75","Republican","yes","Randall Gauvin","TF"
"randall douglas gauvin","Vista Print",122.33,"Representative","75","Republican","yes","Randall Gauvin","TF"
"randall douglas gauvin","US Postal Service",78,"Representative","75","Republican","yes","Randall Gauvin","TF"
"trevor alex doiron","Wix.com",169.36,"Representative","76","Democratic","yes","Trevor Doiron","MCEA"
"trevor alex doiron","United States Postal Service",90,"Representative","76","Democratic","yes","Trevor Doiron","MCEA"
"woodleigh h hughes","Frame Media Strategies",1630.15,"Representative","78","Democratic","yes","Woodleigh Hughes","MCEA"
"woodleigh h hughes","SquareSpace, INC",114,"Representative","78","Democratic","yes","Woodleigh Hughes","MCEA"
"woodleigh h hughes","Dale Rand Printing",105.5,"Representative","78","Democratic","yes","Woodleigh Hughes","MCEA"
"woodleigh h hughes","ActBlue",0.35,"Representative","78","Democratic","yes","Woodleigh Hughes","MCEA"
"caldwell jackson","Amazon",452.8,"Representative","80","Republican",NA,"Caldwell Jackson","Unknown"
"caldwell jackson","Valley View Orchard Pies Inc",90.01,"Representative","80","Republican",NA,"Caldwell Jackson","Unknown"
"caldwell jackson","Advertiser Democrat",66.55,"Representative","80","Republican",NA,"Caldwell Jackson","Unknown"
"caldwell jackson","T D Bank",36,"Representative","80","Republican",NA,"Caldwell Jackson","Unknown"
"ernest fitts iv","Grassroots Graphics",1050.78,"Representative","80","Republican",NA,"Ernest Fitts Iv","Unknown"
"gino valeriani","Spectrum Marketing Co",376,"Representative","80","Republican",NA,"Gino Valeriani","TF"
"gino valeriani","FedEx Office",307.73,"Representative","80","Republican",NA,"Gino Valeriani","TF"
"gino valeriani","EOP Inc",35.87,"Representative","80","Republican",NA,"Gino Valeriani","TF"
"caleb joshua ness","Spectrum Marketing Companies",778,"Representative","82","Republican",NA,"Caleb Joshua Ness","MCEA"
"caleb joshua ness","Staples",377.67,"Representative","82","Republican",NA,"Caleb Joshua Ness","MCEA"
"caleb joshua ness","Harland Clarke",16.76,"Representative","82","Republican",NA,"Caleb Joshua Ness","MCEA"
"caleb joshua ness","United States Postal Service",9.57,"Representative","82","Republican",NA,"Caleb Joshua Ness","MCEA"
"caleb joshua ness","Walmart",5.77,"Representative","82","Republican",NA,"Caleb Joshua Ness","MCEA"
"christopher alfred lewey","VistaPrint",42.18,"Representative","82","Democratic","yes","Christopher Lewey","MCEA"
"nathan j wadsworth","Benchmark Graphic Co.",96,"Representative","82","Republican",NA,"Nathan J Wadsworth","Unknown"
"nathan j wadsworth","Bangor Savings Bank",34,"Representative","82","Republican",NA,"Nathan J Wadsworth","Unknown"
"mark walker","Staples Office Supplies",280.21,"Representative","84","Republican",NA,"Mark Walker","Unknown"
"mark walker","Sebago Volunteers",20,"Representative","84","Republican",NA,"Mark Walker","Unknown"
"adrienne paul","Spectrum Marketing Company",837.5,"Representative","85","Republican",NA,"Adrienne Paul","MCEA"
"adrienne paul","Staples",108.43,"Representative","85","Republican",NA,"Adrienne Paul","MCEA"
"adrienne paul","USPS",58,"Representative","85","Republican",NA,"Adrienne Paul","MCEA"
"kimberly j pomerleau","Apple, inc",912.94,"Representative","85","Republican","yes","Kimberly Pomerleau","MCEA"
"kimberly j pomerleau","Staples",815.18,"Representative","85","Republican","yes","Kimberly Pomerleau","MCEA"
"kimberly j pomerleau","John salomoni",375,"Representative","85","Republican","yes","Kimberly Pomerleau","MCEA"
"kimberly j pomerleau","York county republican committee",250,"Representative","85","Republican","yes","Kimberly Pomerleau","MCEA"
"kimberly j pomerleau","Amazon",112.81,"Representative","85","Republican","yes","Kimberly Pomerleau","MCEA"
"timothy nickels","Staples",532.01,"Representative","85","Republican",NA,"Timothy Nickels","TF"
"timothy nickels","State of Maine",140,"Representative","85","Republican",NA,"Timothy Nickels","TF"
"timothy nickels","Hostinger",115.71,"Representative","85","Republican",NA,"Timothy Nickels","TF"
"timothy nickels","Signarama",108.12,"Representative","85","Republican",NA,"Timothy Nickels","TF"
"david wayne boyer jr","David Boyer",8234.22,"Representative","87","Republican","yes","David Boyer Jr.","Unknown"
"david wayne boyer jr","Poland Community Food Bank",1000,"Representative","87","Republican","yes","David Boyer Jr.","Unknown"
"david wayne boyer jr","Town of Poland",750,"Representative","87","Republican","yes","David Boyer Jr.","Unknown"
"david wayne boyer jr","Kindness Keepers for Hallie",500,"Representative","87","Republican","yes","David Boyer Jr.","Unknown"
"david wayne boyer jr","Maine Republican Party",500,"Representative","87","Republican","yes","David Boyer Jr.","Unknown"
"dana staples","USPS",85.6,"Representative","88","Democratic",NA,"Dana Staples","Unknown"
"dana staples","Squarespace",77,"Representative","88","Democratic",NA,"Dana Staples","Unknown"
"dana staples","Staples",69.62,"Representative","88","Democratic",NA,"Dana Staples","Unknown"
"dana staples","Target",7.37,"Representative","88","Democratic",NA,"Dana Staples","Unknown"
"quentin chapman","Quentin Chapman",1423.89,"Representative","88","Republican",NA,"Quentin Chapman","TF"
"quentin chapman","United States Postal Service",366,"Representative","88","Republican",NA,"Quentin Chapman","TF"
"adam r lee","Adam R. Lee",5122.06,"Representative","89","Democratic",NA,"Adam R. Lee","TF"
"adam r lee","ActBlue",385.31,"Representative","89","Democratic",NA,"Adam R. Lee","TF"
"james sorcek","Staples",65.94,"Representative","90","Republican",NA,"James Sorcek","MCEA"
"james sorcek","Walmart",52.62,"Representative","90","Republican",NA,"James Sorcek","MCEA"
"james sorcek","Androscoggin Bank",10,"Representative","90","Republican",NA,"James Sorcek","MCEA"
"jeffrey timberlake","EXXAR ENERGY",45.4,"Representative","91","Republican",NA,"Jeffrey Timberlake","Unknown"
"janet beaudoin","Spectrum Marketing",4098,"Representative","94","Republican",NA,"Janet Beaudoin","TF"
"janet beaudoin","Janet Beaudoin",1878.6,"Representative","94","Republican",NA,"Janet Beaudoin","TF"
"janet beaudoin","Maine Republican Party",1110.52,"Representative","94","Republican",NA,"Janet Beaudoin","TF"
"janet beaudoin","Spectrum Marketing Companies",735,"Representative","94","Republican",NA,"Janet Beaudoin","TF"
"janet beaudoin","Italian Bakery",180,"Representative","94","Republican",NA,"Janet Beaudoin","TF"
"kristen sarah cloutier","Scott Harriman",500,"Representative","94","Democratic",NA,"Kristen Sarah Cloutier","Unknown"
"kristen sarah cloutier","Dirigo Federal Credit Union",2,"Representative","94","Democratic",NA,"Kristen Sarah Cloutier","Unknown"
"scott a harriman","FRAME Media Strategies",10379.78,"Representative","94","Democratic",NA,"Scott Harriman","MCEA"
"scott a harriman","USPS",1721,"Representative","94","Democratic",NA,"Scott Harriman","MCEA"
"scott a harriman","Stack Adapt",1700,"Representative","94","Democratic",NA,"Scott Harriman","MCEA"
"scott a harriman","Meta",1275,"Representative","94","Democratic",NA,"Scott Harriman","MCEA"
"scott a harriman","ActBlue",1155.58,"Representative","94","Democratic",NA,"Scott Harriman","MCEA"
"kiernan innes majeruscollins","Fitzgerald Photo",1750,"Representative","95","Democratic","yes","Kiernan Majerus-Collins","Unknown"
"kiernan innes majeruscollins","Dale Rand Printing Co.",1649.91,"Representative","95","Democratic","yes","Kiernan Majerus-Collins","Unknown"
"kiernan innes majeruscollins","Emma Medeiros",1000,"Representative","95","Democratic","yes","Kiernan Majerus-Collins","Unknown"
"kiernan innes majeruscollins","Corsair Consulting",500,"Representative","95","Democratic","yes","Kiernan Majerus-Collins","Unknown"
"kiernan innes majeruscollins","Meta Platforms Inc.",500,"Representative","95","Democratic","yes","Kiernan Majerus-Collins","Unknown"
"kerryl lee clement","Spectrum Marketing",875,"Representative","96","Republican",NA,"Kerryl Lee Clement","MCEA"
"kerryl lee clement","Paddle.com Market Ltd",89.99,"Representative","96","Republican",NA,"Kerryl Lee Clement","MCEA"
"kerryl lee clement","City Clerk - City of Lewiston",22,"Representative","96","Republican",NA,"Kerryl Lee Clement","MCEA"
"kerryl lee clement","Staples",12.64,"Representative","96","Republican",NA,"Kerryl Lee Clement","MCEA"
"kilton mccarthy webb","Frame Media Strategies",520,"Representative","98","Democratic",NA,"Kilton Mccarthy Webb","MCEA"
"kilton mccarthy webb","Dale Rand Printing",242.65,"Representative","98","Democratic",NA,"Kilton Mccarthy Webb","MCEA"
"kilton mccarthy webb","Square Space",192,"Representative","98","Democratic",NA,"Kilton Mccarthy Webb","MCEA"
"william j st michel","Spectrum Marketing Companies",815.54,"Representative","98","Republican","yes","William St. Michel","MCEA"
"william j st michel","Amazon",145.49,"Representative","98","Republican","yes","William St. Michel","MCEA"
"william j st michel","Staples",37.97,"Representative","98","Republican","yes","William St. Michel","MCEA"
"cheryl a golek","Staples",392.62,"Representative","99","Democratic",NA,"Cheryl A Golek","MCEA"
"cheryl a golek","eBay Commerce Inc",209.95,"Representative","99","Democratic",NA,"Cheryl A Golek","MCEA"
"cheryl a golek","Face Book",49.87,"Representative","99","Democratic",NA,"Cheryl A Golek","MCEA"
"cheryl a golek","ActBlue",27.65,"Representative","99","Democratic",NA,"Cheryl A Golek","MCEA"
"cheryl a golek","Ancorum Credit Union",10,"Representative","99","Democratic",NA,"Cheryl A Golek","MCEA"
"vaughn j mclaughlin","Saturn Business Services Inc.",740.11,"Senator","1","Democratic",NA,"Vaughn J Mclaughlin","MCEA"
"vaughn j mclaughlin","Frame Media Strategies LLC",721.15,"Senator","1","Democratic",NA,"Vaughn J Mclaughlin","MCEA"
"vaughn j mclaughlin","United States Postal Service",95.6,"Senator","1","Democratic",NA,"Vaughn J Mclaughlin","MCEA"
"vaughn j mclaughlin","Actblue Technical Services",18.14,"Senator","1","Democratic",NA,"Vaughn J Mclaughlin","MCEA"
"david g haggan","Spectrum Marketing Companies",3000,"Senator","10","Republican",NA,"David G. Haggan","MCEA"
"glenn chip curry","Frames Media Strategies LLC",840,"Senator","11","Democratic",NA,"Glenn Chip Curry","MCEA"
