"filer_name","tot_con"
"KENNEBEC COUNTY REPUBLICAN COMMITTEE",3536.1
"AROOSTOOK DEMOCRATIC COUNTY COMMITTEE",3505.23
"Kenneth A. Capron",3505
"Craig Hickman",3096
"Jonathan Reed Fallon",3044
"Peter G. Violette",3000
"Leo Christopher Kenney",2980
"Joseph Paul Guerin",2975
"Michele Meyer",2900
"Andre E Cushing, III",2839
"Henry L Ingwersen",2750
"Saco Republican Committee",2722
"MAINE EYE PAC",2675
"MAINE CONSERVATION VOTERS ACTION FUND",2600
"Hollis Buxton Democratic Committee",2569
"SAGADAHOC COUNTY REPUBLICAN COMMITTEE",2553
"MPA CAMPAIGN VOTE!",2500
"RETAIL MAINE PAC",2500
"Corey Leigh Bagley",2480
"Gary Gene Runnells, Jr.",2435
"South Berwick Republican Committee",2352.5
"Windham Republican Town Committee",2348
"Hermon Republican Committee",2322.1
"Teresa S Pierce",2300
"CUMBERLAND COUNTY DEMOCRATIC COMMITTEE",2290.45
"YORK COUNTY DEMOCRATIC COMMITTEE",2270
"Greater Bangor Democratic Committee",2236.83
"Daniel Sayre",2202
"NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS PAC",2166.6
"Deane Rykerson",2125
"Eric H Small",2000
"Sheet Metal Workers International Political Action League",1892.8
"Standish Republican Committee",1880
"WELLS REPUBLICAN COMMITTEE",1850
"Cape Elizabeth Republican Town Committee",1816
"York Town Republican Committee",1799
"Nathan Burnett",1760
"Building The Maine House",1750
"Lincoln Lakes Regional Democratic Committee",1746.93
"Marpheen Chann",1735
"Wells Democratic Town Committee",1549.99
"Nicole Lynn Kalloch",1500
"John Murphy Salamone",1420
"Zachary Anders Wood",1390
"RETAIL LUMBER DEALERS ASSOCIATION OF MAINE PAC",1305
"Ryan Christopher Otis",1300
"Androscoggin County Democratic Committee",1289.66
"Stacey K Guerin",1250
"Gardiner Regional Democratic Party Committee",1215
"Kimberly J. Pomerleau",1110
"Jason G Litalien",1100
"Steven Christopher Sheppard",1100
"Kati L. McCormick",1050
"Nicole C Grohoski",1025
"EQUALITYMAINE PAC",1003.66
"Barbara Anne Bagshaw",1000
"Chad Richard Perkins",1000
"Charles Edward Tilburg",1000
"Charlotte Nutt",1000
"Christopher Alfred Lewey",1000
"Douglas A. Thomas",1000
"John Reny",1000
"Kenneth Wade Fredette",1000
"Mallory Aaren Cook",1000
"Michael Sweeny Flanagan",1000
"Sean Mahoney",1000
"Trevor Alex Doiron",1000
"Chris P Austin",974.49
"Mark Frederick Zimmer",920
"Yarmouth Democratic Committee",915
"Sharon C. Frost",900
"Maine's Fed Up",888.59
"William J. St. Michel",825
"New Ellsworth Democrats",810
"Nina A Milliken",800
"Republican Opportunities PAC",800
"Scott W. Cyrway",800
"Alexandros Orestis",700
"John Robert Henkelman, III",700
"Joshua D. Gerritsen",700
"Woodleigh H Hughes",700
"Sean F. Faircloth",675
"Alexander Kenneth Murchison",671.63
"Kenneth Forrest Pinet",665
"Shawn Michael Packard",610
"Daniel Joseph Ankeles",600
"Maine First PAC",600
"LEWISTON DEMOCRATIC CITY COMMITTEE",599.02
"Eliot Town Democratic Committee",559
"MAINE TAXPAYERS UNITED PAC",502
"Allen Anthony Daggett",500
"Andrew R. Torbett",500
"James Lee White",500
"Jamie K Newton",500
"Kiernan I. Majerus-Collins (Special)",500
"Michael J. Nicholson",500
"Shawn Leroy Lancaster",500
"Sunshine Hill",500
"Marc G. Malon, II",275
"Kittery Democratic Committee",253
"American Leadership Committee - Maine",200
"John Michael Glowa, Sr.",180
"Matthew A Harrington",150
"Nicholas Alexander",147.7
"John E. Ducharme, III",125
"Ryan M Fecteau",125
"Randall Douglas Gauvin",100
"Brunswick Democratic Town Committee",60
"Joseph M. Baldacci",50
"New Gloucester Democratic Committee",40
"David Giles",30
"GREENME PAC",20
"Make Maine Prosper",20
"Matthea Elisabeth Larsen Daughtry",20
"Anne Carney",5
"Jeff Timberlake",1.53
