variant_name,canonical_name
peter wood,peter conley wood
poppy arford,poppy t arford
r winslow,r melissa winslow
r. melissa winslow,r melissa winslow
rachel a. henderson,rachel a henderson
rachel henderson,rachel a henderson
rachel phipps,rachel mary phipps
rachel ross,rachel talbot ross
rafael macias,rafael leo macias
randall gauvin,randall douglas gauvin
randall greenwood,randall adam greenwood
ray thombs jr,ray alden jr thombs
reagan paul,reagan leeann paul
rebecca flood andrews,rebecca lynn flood andrews
richard campbell,richard h campbell
richard goldman,richard marc goldman
richard h. campbell,richard h campbell
robert a. foley,robert a foley
robert b. charles,robert b charles
robert charles,robert b charles
robert j. wessels,robert j wessels
robert sullebarger,robert finch sullebarger
robert wessels,robert j wessels
robin upton-sukeforth,robin uptonsukeforth
roger albert,roger clarence albert
roland martin,roland daniel martin
rolf arthur olsen jr.,rolf arthur olsen jr
rolf olsen jr,rolf arthur jr olsen
roy d gott,roy gott
ronald russell,ronald b russell
russell black,russell john black
russell white,russell p white
ryan fecteau,ryan m fecteau
ryan otis,ryan christopher otis
sally cluchey,sally jeane cluchey
samuel zager,samuel lewis zager
scott a. harriman,scott a harriman
scott cyrway,scott w cyrway
scott harriman,scott a harriman
sean f. faircloth,sean f faircloth
sean faircloth,sean f faircloth
shawn dixon,shawn m dixon
shawn lancaster,shawn leroy lancaster
shawn m. dixon,shawn m dixon
shawn packard,shawn michael packard
sheila lyman,sheila a lyman
stacey guerin,stacey kay guerin
stacey k guerin,stacey kay guerin
stephen wood,stephen j wood
steven bishop,steven matthew bishop
steven matthew bishop,steven matthew bishop iv
steven matthew iv bishop,steven matthew bishop
suzanne andresen,suzanne r andresen
suzanne johnson,suzanne c johnson
suzanne m. salisbury,suzanne m salisbury
suzanne r. andresen,suzanne r andresen
suzanne salisbury,suzanne m salisbury
tammy schmersal-burgess,tammy l schmersalburgess
tammy schmersalburgess,tammy l schmersalburgess
tavis hasenfus,tavis rock hasenfus
teresa pierce,teresa s pierce
thomas lavigne,thomas arthur lavigne
timothy guerrette,timothy c guerrette
timothy nangle,timothy e nangle
traci gere,traci l gere
tracy quint,tracy lynn quint
trevor doiron,trevor alex doiron
troy jackson,troy dale jackson
valli geiger,valli d geiger
vaughn mclaughlin,vaughn j mclaughlin
victoria kornfield,victoria porter kornfield
w. edward crockett,w edward crockett
walter runte jr,walter gerard jr runte
wayne farrin,wayne k farrin
wayne k. farrin,wayne k farrin
william bridgeo,william r bridgeo
william j. st. michel,william j st michel
william st michel,william j st michel
william tuell,william r tuell
woodleigh hughes,woodleigh h hughes
yusuf yusuf,yusuf muse yusuf
zachary wood,zachary anders wood
