candidate,race,district,party,source,primary_result,show_on_page
shannon mcdonnell,,,,state,,no
sharon conrad frost,,,,state,,no
shelby d wright,,,,state,,no
shelley j rudnicki,,,,state,,no
sherman hoyt hutchins,,,,state,,no
stacy fielding brenner,,,,state,,no
stefanie mahr damien,,,,state,,no
stephan m bunker,,,,state,,no
stephen j hemenway,,,,state,,no
steven alan wolejko,,,,state,,no
steven d foster,,,,state,,no
susan abercrombie,,,,state,,no
tamara hoke,,,,state,,no
tamara n hoke,,,,state,,no
tammy b walter,,,,state,,no
tammy brown,,,,state,,no
theodore l sirois,,,,state,,no
thomas casey,,,,state,,no
thomas riley watson,,,,state,,no
tiffany bond,,,,state,,no
tiffany danielle roberts,,,,state,,no
timothy c guerrette,,,,state,,no
travis b erickson,,,,state,,no
tristan earl lozuawaymccomsey,,,,state,,no
tristram j howard,,,,state,,no
vaughn james mclaughlin,,,,state,,no
victoria w doudera,,,,state,,no
vincent e brown,,,,state,,no
vincent m house,,,,state,,no
w louis jr sidell,,,,state,,no
w scott rocknak,,,,state,,no
william d pluecker,,,,state,,no
william raymond bridgeo,,,,state,,no
zachary smith,,,,state,,no
zachary t wyles,,,,state,,no
"PIETROWICZ, JOSHUA JAMES",House,01,,federal,,yes
"PINGREE, CHELLIE M",House,01,,federal,,yes
"ROBERTS, TIFFANY DANIELLE",House,01,,federal,,yes
"RUSSELL, RONALD CHARLES MR.",House,01,,federal,,yes
"SMALL, ERIC",House,01,,federal,,yes
"DUNLAP, MATT",House,02,,federal,,yes
"GOLDEN, JARED",House,02,,federal,,yes
"LEPAGE, PAUL",House,02,,federal,,yes
"WOOD, JORDAN",House,02,,federal,,yes
"CALABRESE, CARMEN VINCENT MR.",Senate,,,federal,,yes
"COLLINS, SUSAN M.",Senate,,,federal,,yes
"COSTELLO, DAVID",Senate,,,federal,,yes
"EVANS, DAVID ALAN",Senate,,,federal,,yes
"FAVREAU, TUCKER",Senate,,,federal,,yes
"KLEBAN, DAN",Senate,,,federal,,yes
"MILLS, JANET TRAFTON",Senate,,,federal,,yes
"PLATNER, GRAHAM",Senate,,,federal,,yes
"RENCH, PHILLIP",Senate,,,federal,,yes
"RODRIGUEZ, DAIRA",Senate,,,federal,,yes
jack mccarthy,Representative,3,Republican,state,,yes
nancy theriaultspecial,Representative,29,Republican,state,,yes
lawrence e bessey jr,Representative,58,Republican,state,,yes
bret michael martel,Representative,95,Republican,state,,yes
lauren chelsea jones,Representative,112,Republican,state,,yes
"BALDACCI, JOSEPH",House,02,,federal,,yes
"LOUD, PAIGE",House,02,,federal,,yes
"DUPREY, JOSHUA JAMES",House,01,,federal,,yes
"SIGEL, LOUIS MR.",House,02,,federal,,yes
"ALCALA, NATASHA",Senate,00,,federal,,yes
"ALCORN, ETHAN WELD MR",Senate,00,,federal,,yes
"RICH, TIMOTHY",Senate,00,,federal,,yes
"SMERIGLIO, DANIEL C",Senate,00,,federal,,yes
"LAFLAMME, ANDREA",Senate,,,federal,,yes
"PIANTIDOSI, ANDREW",House,01,,federal,,yes
"CLARK, JAMES L.",House,02,,federal,,yes
