candidate,race,district,party,source,primary_result,show_on_page
gary friedmann,Representative,14,Democrat,state,,yes
jean donovan,Representative,14,Republican,state,,yes
clifford noyes,Representative,15,Unenrolled,state,,no
holly rae eaton,Representative,15,Democrat,state,,yes
eric white,Representative,16,Republican,state,,yes
gary gene runnells jr,Representative,16,Unenrolled,state,,no
nina a milliken,Representative,16,Democrat,state,,yes
ronald b russell,Representative,17,Democrat,state,,yes
steven matthew bishop iv,Representative,17,Republican,state,,yes
jonathan goble,Representative,18,Democratic,state,,yes
mathew david mcintyre,Representative,18,Republican,state,,yes
david ulrich,Representative,19,Democrat,state,,yes
richard h campbell,Representative,19,Republican,state,,yes
dani ohalloran,Representative,20,Democrat,state,,yes
patrick a jude,Representative,20,Republican,state,,yes
ambureen rana,Representative,21,Democrat,state,,yes
andrew laverdiere,Representative,21,Republican,state,,yes
colby michael lapointe,Representative,21,,state,,no
frank joseph casella,Representative,21,Republican,state,,yes
colleen t oneal,Representative,22,Republican,state,,yes
laura danielle supica,Representative,22,Democrat,state,,yes
brian ames,Representative,23,Republican,state,,yes
joschka winterling,Representative,23,Democrat,state,,yes
katie brydon,Representative,23,Democrat,state,,yes
victoria porter kornfield,Representative,23,Democrat,state,,yes
carolyn fish,Representative,24,Republican,state,,no
joseph charles perry,Representative,24,Democratic,state,,no
sean f faircloth,Representative,24,Democrat,state,,yes
anthony m weaver,Representative,25,Republican,state,,yes
laurie osher,Representative,25,Democrat,state,,yes
edward l paradis,Representative,26,Republican,state,,yes
james f dill,Representative,26,Democrat,state,,yes
david giles,Representative,27,Republican,state,,yes
devan arnold,Representative,27,Democrat,state,,yes
gary a drinkwater,Representative,27,Republican,state,,no
gordon powell street,Representative,28,Democrat,state,,yes
irene a gifford,Representative,28,Republican,state,,yes
james michael michaud,Representative,29,Republican,state,,yes
nancy jean theriault,Representative,29,Republican,state,,yes
nancy mcdowell,Representative,29,Democrat,state,,yes
nancy mcdowellspecial,Representative,29,Democrat,state,,yes
james lee white,Representative,30,Republican,state,,yes
john j contreni jr,Representative,30,Democrat,state,,yes
andrew r torbett,Representative,31,Republican,state,,yes
eric boothroyd,Representative,31,Democrat,state,,yes
shawn leroy lancaster,Representative,32,Republican,state,,yes
kenneth wade fredette,Representative,33,Republican,state,,yes
michael brayson,Representative,33,Democrat,state,,yes
james mcclymer,Representative,34,Democrat,state,,yes
stacey kay guerin,Representative,34,Republican,state,,yes
debora farnham,Representative,35,Democrat,state,,yes
james e thorne,Representative,35,Republican,state,,yes
clifton foster,Representative,36,Democrat,state,,yes
kimberly m haggan,Representative,36,Republican,state,,yes
alan lee orcutt,Representative,37,Democrat,state,,yes
reagan leeann paul,Representative,37,Republican,state,,yes
benjamin charles hymes,Representative,38,Republican,state,,yes
kayla miller,Representative,38,Democrat,state,,yes
stephen ellis,Representative,38,Democratic,state,,no
madison cook,Representative,39,Democrat,state,,yes
michael j nicholson,Representative,39,Republican,state,,yes
d michael ray,Representative,40,Democrat,state,,yes
joseph milton mclaughlin,Representative,40,Republican,state,,yes
cory raymond,Representative,41,Republican,state,,yes
joshua d gerritsen,Representative,41,Democrat,state,,yes
marcus mrowka,Representative,41,Democrat,state,,yes
jamie lee hopkins,Representative,42,,state,,no
melissa byer,Representative,42,Republican,state,,yes
valli d geiger,Representative,42,Democrat,state,,yes
chris p austin,Representative,43,Republican,state,,yes
michael sweeny flanagan,Representative,43,Republican,state,,yes
peter q jenks,Representative,43,Democrat,state,,yes
rhiannon hampson,Representative,43,Democrat,state,,yes
brady alden clark,Representative,44,Republican,state,,yes
ray thombs,Representative,44,Republican,state,,yes
shawn saindon,Representative,44,Unenrolled,state,,yes
clinton collamore,Representative,45,Unenrolled,state,,yes
rebecca stephens,Representative,45,Republican,state,,yes
jennifer mayher,Representative,46,Democrat,state,,yes
kristine a poland,Representative,46,Unenrolled,state,,yes
chester b grover iii,Representative,47,Republican,state,,yes
wayne k farrin,Representative,47,Democrat,state,,yes
charlotte nutt,Representative,48,Democrat,state,,yes
erik hobson,Representative,48,Republican,state,,yes
nicolas john hamlin,Representative,49,Republican,state,,yes
suzanne r andresen,Representative,49,Republican,state,,yes
trent vellella,Representative,49,Democrat,state,,yes
david a sinclair,Representative,50,Democrat,state,,yes
jedediah j rice,Representative,50,Republican,state,,yes
annalyse sarvinas,Representative,51,Republican,state,,yes
rafael leo macias,Representative,51,Democrat,state,,yes
david wayne guilmette,Representative,52,Republican,state,,yes
sally jeane cluchey,Representative,52,Democrat,state,,yes
michael h lemelin,Representative,53,Republican,state,,yes
richard marc goldman,Representative,53,Democrat,state,,yes
karen l montell,Representative,54,Democrat,state,,yes
michelle tucker,Representative,54,Republican,state,,yes
charles hippler iv,Representative,55,Republican,state,,yes
maureen aucoin,Representative,55,Democrat,state,,yes
steven butterfield,Representative,55,Democrat,state,,yes
randall adam greenwood,Representative,56,Republican,state,,yes
robin uptonsukeforth,Representative,56,Democrat,state,,yes
david potvin,Representative,57,Republican,state,,yes
tavis rock hasenfus,Representative,57,Democrat,state,,yes
dexter buzz bridges,Representative,58,Republican,state,,yes
jeff harris,Representative,58,Republican,state,,yes
jeffrey harris,Representative,58,Republican,state,,no
nicholas alexander,Representative,58,Republican,state,,no
sharon c frost,Representative,58,Unenrolled,state,,yes
john reny,Representative,59,Republican,state,,yes
katrina couch raysaulis,Representative,59,Democrat,state,,yes
marcus emerson,Representative,59,Republican,state,,no
tom keefe,Representative,59,Democrat,state,,yes
william r bridgeo,Representative,60,Democrat,state,,yes
wyatt beaulieu,Representative,60,Republican,state,,yes
alicia c collins,Representative,61,Republican,state,,yes
robin crawley,Representative,61,Democrat,state,,yes
katrina j smith,Representative,62,Republican,state,,yes
pamela jo swift,Representative,62,Democrat,state,,yes
paul r flynn,Representative,63,Republican,state,,yes
taylor west,Representative,63,Democrat,state,,yes
flavia m debrito,Representative,64,Democrat,state,,yes
shawn michael packard,Representative,64,Republican,state,,yes
cassie l julia,Representative,65,Democrat,state,,yes
scott strom,Representative,65,Republican,state,,yes
alicia barnes,Representative,66,Unenrolled,state,,yes
michael d perkins,Representative,66,Republican,state,,yes
matthew channing townsend,Representative,67,Democrat,state,,yes
shawn m dixon,Representative,67,Republican,state,,yes
amanda noelle collamore,Representative,68,Republican,state,,yes
zachary lejonhud,Representative,68,Unenrolled,state,,yes
dean a cray,Representative,69,Republican,state,,yes
jessica bonafine blanchard,Representative,69,Democrat,state,,yes
jennifer lynn poirier,Representative,70,Republican,state,,yes
joseph almand,Representative,70,Democrat,state,,yes
allison perkins,Representative,71,Democrat,state,,yes
john e ducharme iii,Representative,71,Republican,state,,yes
cynthia somahernandez,Representative,72,Democrat,state,,yes
douglas a thomas,Representative,72,Republican,state,,yes
daniel simonds,Representative,73,Democrat,state,,yes
michael soboleski,Representative,73,Republican,state,,no
mike soboleski,Representative,73,Republican,state,,yes
ryan morgan,Representative,73,Republican,state,,yes
marc edwards,Representative,74,Democrat,state,,yes
russell john black,Representative,74,Republican,state,,yes
h scott landry,Representative,75,Democrat,state,,yes
randall douglas gauvin,Representative,75,Republican,state,,yes
clinton brooks,Representative,76,Unenrolled,state,,yes
sheila a lyman,Representative,76,Republican,state,,yes
trevor alex doiron,Representative,76,Democrat,state,,yes
arlie hetrick jr,Representative,77,Democrat,state,,yes
tammy l schmersalburgess,Representative,77,Republican,state,,yes
rachel a henderson,Representative,78,Republican,state,,yes
woodleigh h hughes,Representative,78,Democrat,state,,yes
brianna lueck,Representative,79,Democrat,state,,yes
michael j lance,Representative,79,Republican,state,,yes
azalea cormier,Representative,80,Unenrolled,state,,yes
ernest fitts iv,Representative,80,Republican,state,,yes
gino valeriani,Representative,80,Republican,state,,yes
christopher easton,Representative,81,Democrat,state,,yes
peter conley wood,Representative,81,Republican,state,,yes
caleb joshua ness,Representative,82,Republican,state,,yes
christopher alfred lewey,Representative,82,Democrat,state,,yes
marygrace caroline cimino,Representative,83,Republican,state,,yes
timothy becker,Representative,83,Democrat,state,,yes
cassandra anne dove,Representative,84,Democrat,state,,yes
mark walker,Representative,84,Republican,state,,yes
adrienne paul,Representative,85,Republican,state,,yes
paul welch,Representative,85,Democrat,state,,yes
timothy nickels,Representative,85,Republican,state,,yes
abigail geer,Representative,86,Democrat,state,,yes
rolf arthur olsen jr,Representative,86,Republican,state,,yes
david wayne boyer jr,Representative,87,Republican,state,,yes
john baldwin,Representative,87,Green,state,,yes
dana staples,Representative,88,Democrat,state,,yes
quentin chapman,Representative,88,Republican,state,,yes
adam r lee,Representative,89,Democrat,state,,yes
james berube,Representative,89,Republican,state,,yes
james sorcek,Representative,90,Republican,state,,yes
laurel libby,Representative,90,Republican,state,,yes
pamela hart,Representative,90,Democrat,state,,yes
emily dingman,Representative,91,Democrat,state,,yes
jeffrey timberlake,Representative,91,Republican,state,,yes
scott girardin,Representative,92,Unenrolled,state,,yes
stephen j wood,Representative,92,Republican,state,,yes
chad syphers,Representative,93,Republican,state,,yes
julia a g mccabe,Representative,93,Democrat,state,,yes
janet beaudoin,Representative,94,Republican,state,,yes
kristen sarah cloutier,Representative,94,Democratic,state,,no
scott a harriman,Representative,94,Democrat,state,,yes
kiernan innes majeruscollins,Representative,95,Democrat,state,,yes
matthew kershaw,Representative,95,Democrat,state,,yes
kerryl lee clement,Representative,96,Republican,state,,yes
luke jensen,Representative,96,Democrat,state,,yes
dale john crafts,Representative,97,Republican,state,,yes
thomas watson,Representative,97,Democrat,state,,yes
guy m lebida,Representative,98,Republican,state,,yes
kilton mccarthy webb,Representative,98,Democrat,state,,yes
william j st michel,Representative,98,Republican,state,,yes
braeden webber,Representative,99,Republican,state,,yes
cheryl a golek,Representative,99,Democrat,state,,yes
brett barrett,Representative,100,Republican,state,,yes
daniel joseph ankeles,Representative,100,Democrat,state,,yes
poppy t arford,Representative,101,Democrat,state,,yes
ravi jackson,Representative,101,Republican,state,,yes
henry lawrence,Representative,102,Republican,state,,yes
maura h pillsbury,Representative,102,Democrat,state,,yes
karin orenstein,Representative,103,Democrat,state,,yes
louis samuel pfeifle,Representative,104,Unenrolled,state,,yes
r melissa winslow,Representative,104,Republican,state,,yes
anne p graham,Representative,105,Democrat,state,,yes
susan fuller,Representative,105,Republican,state,,yes
barbara anne bagshaw,Representative,106,Republican,state,,yes
bradley youngs,Representative,106,Democrat,state,,yes
doris a poland,Representative,106,Democratic,state,,no
joseph campbell,Representative,107,Democrat,state,,yes
mark c cooper,Representative,107,Republican,state,,yes
kelly dearborn,Representative,108,Republican,state,,yes
parnell william terry,Representative,108,Democrat,state,,yes
diana kushnar,Representative,109,Republican,state,,yes
seven siegel,Representative,109,Democrat,state,,yes
christina rue cork mitchell,Representative,110,Democrat,state,,yes
jason lewis copp,Representative,110,Republican,state,,yes
amy d kuhn,Representative,111,Democrat,state,,yes
sean mahoney,Representative,112,Democrat,state,,yes
grayson benjamin lookner,Representative,113,Democrat,state,,yes
april fournier,Representative,114,Democrat,state,,yes
andrew zarro,Representative,115,Democrat,state,,yes
samuel lewis zager,Representative,116,Democrat,state,,yes
matthew moonen,Representative,117,Democrat,state,,yes
yusuf muse yusuf,Representative,118,Democrat,state,,yes
jacob murray wakem,Representative,119,Republican,state,,yes
michael dixon,Representative,119,Democrat,state,,yes
jason shedlock,Representative,120,Democrat,state,,yes
michael dougherty,Representative,120,Republican,state,,yes
meagan smith,Representative,121,Republican,state,,yes
robert cameron,Representative,121,Democrat,state,,yes
matthew d beck,Representative,122,Democrat,state,,yes
annie christy,Representative,123,Republican,state,,yes
michelle n boyer,Representative,123,Democrat,state,,yes
eric nathanson,Representative,124,Democrat,state,,yes
mary shannon lindstrom,Representative,124,Unenrolled,state,,yes
scott doherty,Representative,124,Republican,state,,yes
kelly maureen noonan murphy,Representative,125,Democrat,state,,yes
andrew m gattine,Representative,126,Democrat,state,,yes
ethan mongue,Representative,126,Republican,state,,yes
morgan j rielly,Representative,127,Democrat,state,,yes
suzanne m salisbury,Representative,128,Democrat,state,,yes
marshall archer,Representative,129,Democrat,state,,yes
lynn holland copeland,Representative,130,Democrat,state,,yes
todd michael davis,Representative,130,Unenrolled,state,,yes
kenneth blow,Representative,131,Unenrolled,state,,yes
robert kelly,Representative,131,Democrat,state,,yes
ryan m fecteau,Representative,132,Democrat,state,,yes
marc g malon ii,Representative,133,Democrat,state,,yes
allen anthony daggett,Representative,134,Unenrolled,state,,yes
traci l gere,Representative,134,Democrat,state,,yes
lisa pratt,Representative,135,Democrat,state,,yes
rachel mary phipps,Representative,135,Democrat,state,,yes
scott craig,Representative,135,Unenrolled,state,,yes
john michael eder,Representative,136,Republican,state,,yes
michelle kathryn conners,Representative,136,Democrat,state,,yes
charles edward tilburg,Representative,137,Democrat,state,,yes
nathan m carlow,Representative,137,Republican,state,,yes
jonathan l kinney,Representative,138,Republican,state,,yes
oliver mcavoy,Representative,138,Democrat,state,,yes
dean lepage,Representative,139,Democrat,state,,yes
jamie k newton,Representative,139,Republican,state,,yes
kirstan watson,Representative,140,Democrat,state,,yes
wayne parry,Representative,140,Republican,state,,yes
clinton phinney jr,Representative,141,Republican,state,,yes
david roland mongeau ii,Representative,141,Unenrolled,state,,yes
marc anthony boisse,Representative,141,Republican,state,,yes
rebecca lynn flood andrews,Representative,141,Democrat,state,,yes
ayn hanselmann,Representative,142,Democrat,state,,yes
gordon frohloff,Representative,142,Republican,state,,yes
eric h small,Representative,143,Republican,state,,yes
john robert henkelman iii,Representative,143,Democrat,state,,yes
corinna cole,Representative,144,Unenrolled,state,,yes
jeff adams,Representative,144,Republican,state,,yes
caleb joseph chase,Representative,145,Republican,state,,yes
kristin tyra davis,Representative,145,Democrat,state,,yes
robert a foley,Representative,145,Republican,state,,no
bradley s moulton,Representative,146,Republican,state,,yes
walter gerard jr runte,Representative,146,Democrat,state,,yes
holly sargent,Representative,147,Democratic,state,,no
holly taylor sargent,Representative,147,Democrat,state,,yes
margaret wheeler,Representative,148,Democrat,state,,yes
thomas arthur lavigne,Representative,148,Republican,state,,yes
justin tahai,Representative,149,Unenrolled,state,,yes
mallory aaren cook,Representative,149,Democrat,state,,yes
timothy towne,Representative,149,Republican,state,,yes
alexandros orestis,Representative,150,Democrat,state,,yes
mark frederick zimmer,Representative,150,Republican,state,,yes
kristi mathieson,Representative,151,Democrat,state,,yes
suzanne c johnson,Representative,151,Republican,state,,yes
aaron lashua,,,,state,,no
abden stephen simmons,,,,state,,no
alan robert livingston,,,,state,,no
alfred f schutz,,,,state,,no
alfred frank schutz,,,,state,,no
allison l hepler,,,,state,,no
amy bradstreet arata,,,,state,,no
amy c bell,,,,state,,no
andrew stephen dent,,,,state,,no
ann e dorney,,,,state,,no
ann h matlack,,,,state,,no
annalee z rosenblatt,,,,state,,no
anne h beebecenter,,,,state,,no
anne marie mcmahon,,,,state,,no
annemarie mastraccio,,,,state,,no
arthur l bell,,,,state,,no
barbara a bagshaw,,,,state,,no
bettyann w sheats,,,,state,,no
bradley scott ducharme,,,,state,,no
brian j blake,,,,state,,no
brian roy,,,,state,,no
bruce a white,,,,state,,no
bruce s bryant,,,,state,,no
candace t augustine,,,,state,,no
carlos humberto sanchezsantos,,,,state,,no
carrye l castlemanross,,,,state,,no
cassie lynn julia,,,,state,,no
cecil r iii gray,,,,state,,no
chad r perkins,,,,state,,no
charles a skold,,,,state,,no
charles william ellis,,,,state,,no
charlotte louise nutt,,,,state,,no
cheryl ann hewes,,,,state,,no
christina m ouellette,,,,state,,no
christopher john kessler,,,,state,,no
christopher m howell,,,,state,,no
christopher thacker,,,,state,,no
clifford t krolick,,,,state,,no
colleen d strickler,,,,state,,no
corey stephen bouchard,,,,state,,no
corinne s sternlieb,,,,state,,no
craig alan pendleton,,,,state,,no
craig r messinger,,,,state,,no
cynthia a dill,,,,state,,no
cynthia j somahernandez,,,,state,,no
dale c harmon,,,,state,,no
dale jay holman,,,,state,,no
daniel e campbell,,,,state,,no
daniel j hobbs,,,,state,,no
daniel j lauzon,,,,state,,no
daniel joseph shagoury,,,,state,,no
daniel r sayre,,,,state,,no
dannie d abbott,,,,state,,no
darin lee mcgaw,,,,state,,no
dave a duguay,,,,state,,no
david c projansky,,,,state,,no
david c woodsome,,,,state,,no
david h gadbois,,,,state,,no
david m rollins,,,,state,,no
david philip lafountain,,,,state,,no
david roland ii mongeau,,,,state,,no
david w guilmette,,,,state,,no
david wayne jr boyer,,,,state,,no
donald r hamill,,,,state,,no
donna lynn piccininni,,,,state,,no
donna marie dodge,,,,state,,no
dustin reginald ward,,,,state,,no
edward joseph polewarczyk,,,,state,,no
eileen a ellis,,,,state,,no
eleanor yoko sato,,,,state,,no
elizabeth j gleason,,,,state,,no
emmett shell,,,,state,,no
eric lee giroux,,,,state,,no
ethan s brownell,,,,state,,no
gary gene jr runnells,,,,state,,no
gregory e foster,,,,state,,no
gregory m kimber,,,,state,,no
gregory r gosselin,,,,state,,no
h scott jr landry,,,,state,,no
harold alfred iii eames,,,,state,,no
heather anne sprague,,,,state,,no
heather m newman,,,,state,,no
herbert c adams,,,,state,,no
holly beth stover,,,,state,,no
holly t sargent,,,,state,,no
irvine w jr marsters,,,,state,,no
ivon howell jr prescott,,,,state,,no
jacob t stoddard,,,,state,,no
james a mccarthy,,,,state,,no
james e eaton,,,,state,,no
james edwin read,,,,state,,no
james ernest thorne,,,,state,,no
james j jr finegan,,,,state,,no
james nelson smith,,,,state,,no
