candidate,final_display_name
aaron dana,Aaron Dana (independent)
abigail geer,Abigail Geer
adam r lee,Adam Lee
adam shaw,Adam Shaw (independent)
adrienne paul,Adrienne Paul
alan lee orcutt,Alan Orcutt
alexandros orestis,Alexandros Orestis
alicia barnes,Alicia Barnes (independent)
alicia c collins,Alicia Collins
allen anthony daggett,Allen Daggett (independent)
allison perkins,Allison Perkins (dropped out)
amanda heath,Amanda Heath
amanda noelle collamore,Amanda Collamore
ambureen rana,Ambureen Rana
amy d kuhn,Amy Kuhn
amy j roeder,Amy Roeder
andrew laverdiere,Andrew Laverdiere (not on ballot)
andrew m gattine,Andrew Gattine
andrew parker,"Andrew Parker (independent, not on ballot)"
andrew r torbett,Andrew Torbett
andrew zarro,Andrew Zarro
angus s king iii,Angus King III (not on ballot)
ann higgins matlack,Ann Matlack
annalyse sarvinas,Annalyse Sarvinas
anne carney,Anne Carney
anne p graham,Anne Graham
annie christy,Annie Christy (dropped out)
anthony m weaver,Anthony Weaver
april fournier,April Fournier
arlie hetrick jr,Arlie Hetrick Jr.
arthur k mingo,Arthur Mingo
austin theriault,Austin Theriault
ayn hanselmann,Ayn Hanselmann
azalea cormier,Azalea Cormier (independent)
barbara anne bagshaw,Barbara Bagshaw
benjamin charles hymes,Benjamin Hymes
benjamin midgley,Benjamin Midgley (not on ballot)
bernard robert porter,Bernard Porter
billy bob faulkingham,Billy Bob Faulkingham
bradley s moulton,Bradley Moulton
bradley youngs,Bradley Youngs
brady alden clark,Brady Clark (not on ballot)
braeden webber,Braeden Webber
bret michael martel,Bret Martel
brett barrett,Brett Barrett
brian ames,Brian Ames
brianna lueck,Brianna Lueck
bruce archer,Bruce Archer (dropped out)
bruce bickford,Bruce Bickford
caleb joseph chase,Caleb Chase
caleb joshua ness,Caleb Ness
cameron reny,Cameron Reny
cassandra anne dove,Cassandra Dove
cassie l julia,Cassie Julia
chad richard perkins,Chad Perkins
chad syphers,Chad Syphers (dropped out)
charles edward tilburg,Charles Tilburg
charles hippler iv,Charles Hippler IV
charlotte nutt,Charlotte Nutt
cheryl a golek,Cheryl Golek
cheryl hewes,Cheryl Hewes
chester b grover iii,Chester Grover III
chris p austin,Christopher Austin
christina rue cork mitchell,Christina Mitchell
christopher alfred lewey,Christopher Lewey
christopher easton,Christopher Easton
clifford noyes,Clifford Noyes
clifton foster,Clifton Foster III
clinton  brooks,Clinton Brooks (independent)
clinton collamore,Clinton Collamore (independent)
clinton phinney jr,Clinton Phinney Jr. (not on ballot)
colleen t oneal,Colleen O'Neal
corinna cole,Corinna Cole (independent)
cory raymond,Cory Raymond
craig v hickman,Craig Hickman
cynthia somahernandez,Cynthia Soma-Hernandez
d michael ray,Michael Ray
dale john crafts,Dale Crafts
dana appleby,Dana Appleby (dropped out)
dana marie appleby,Dana Appleby (dropped out)
dana staples,Dana Staples
dani ohalloran,Dani O'Halloran
daniel daley,Daniel Daley (not on ballot)
daniel joseph ankeles,Daniel Ankeles
daniel sayre,Daniel Sayre
daniel simonds,Daniel Simonds
danny e costain,Danny Costain (not on ballot)
david a sinclair,David Sinclair
david duguay,David Duguay (independent)
david g haggan,David Haggan
david giles,David Giles
david h mccrea,David McCrea
david john jones,David Jones (not on ballot)
david potvin,David Potvin
david roland mongeau ii,David Mongeau II (independent)
david ulrich,David Ulrich
david wayne boyer jr,David Boyer Jr.
david wayne guilmette,David Guilmette
dean a cray,Dean Cray
dean lepage,Dean LePage
deane rykerson,Deane Rykerson (not on ballot)
debora farnham,Debora Farnham
denise tepler,Denise Tepler
derek allen levasseur,"Derek Allen Levasseur (independent, not on ballot)"
devan arnold,Devan Arnold
dexter buzz bridges,Dexter Bridges
diana kushnar,Diana Kushnar
donald james ardell,Donald Ardell
donna bailey,Donna Bailey
douglas a thomas,Douglas Thomas
douglas colburn carlisle jr,Douglas Carlisle Jr.
edward l paradis,Edward Paradis (dropped out)
edward mathias kamin iii,Edward Mathias Kamin III
edwin m mitchell,Edwin Mitchell (independent)
eleanor sato,Eleanor Sato (not on ballot)
elizabeth caruso,Elizabeth Caruso
elizabeth d bosworth,Elizabeth Bosworth
emily dingman,Emily Dingman (dropped out)
eric boothroyd,Eric Boothroyd
eric h small,Eric Small (dropped out)
eric nathanson,Eric Nathanson
eric white,Eric White
erik hobson,Erik Hobson
ernest fitts iv,Ernest Fitts IV
eryn soule,Eryn Soule (independent)
ethan mongue,Ethan Mongue
flavia m debrito,Flavia DeBrito
frank joseph casella,Frank Casella
garrett paul mason,Garrett Paul Mason (not on ballot)
garrett plummer,Garrett Plummer
gary friedmann,Gary Friedmann
gary gene runnells jr,"Gary Gene Runnells, Jr."
genevieve lemire,Genevieve Lemire
gino valeriani,Gino Valeriani (not on ballot)
glenn chip curry,Glenn Curry
gordon frohloff,Gordon Frohloff (dropped out)
gordon powell street,Gordon Street
grayson benjamin lookner,Grayson Lookner
gregory pierce,Gregory Pierce (not on ballot)
guy m lebida,Guy Lebida (not on ballot)
h scott landry,Scott Landry
hannah pingree,Hannah Pingree
harold hull,Harold Hull (dropped out)
harold trey l iii stewart,Harold Stewart III
harry white,Harry White (dropped out)
henry l ingwersen,Henry Ingwersen
henry lawrence,Henry Lawrence III
holly rae eaton,Holly Eaton
holly taylor sargent,Holly Sargent
irene a gifford,Irene Gifford
jack mccarthy,Jack McCarthy (not on ballot)
