name,status,finance_type,url
Joseph Edward Martin,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zrcsdh9mh
Marpheen Chann,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0cagpr8s9w
Nicolas John Hamlin,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zr42jeg96
Scott A. Harriman (Special),Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zrgb26jft
Scott Allen Seekins,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9tvxtc07
PATRICK JUDE,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zscfjaahz
Suzanne M. Salisbury,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmqzkn0b5se
Susan M Austin,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmpdwttca8z
NATHAN M CARLOW,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmpm8kbx1h3
Deqa Abdi Dhalac,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmpvde52agm
Andrew M Gattine,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmq1wcwjats
Nancy E. Hammond,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gckednv4esw0581rk44
Caleb Joseph Chase,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802fs32kqw
Madison Cook,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803xgpvaxq
Cameron Reny,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802r6qsmqj
Clinton Collamore,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805hf3gecd
Matthew James Boucher,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802jren81e
Joseph Pietroski,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8042s9q68t
Robert Andrews,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn7691m3exxse3vb0t8kta1s
D. Michael Ray,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw804hsgnc0v
Tanya Belanger,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw804y3tdnp1
Lloyd C. Herrick,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803pwknzje
Kevin J. Joyce,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw804mb0bv0s
Andrew Parker,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khrk63bkfc9v8qct98rjbbxj
Alexandros Orestis,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdjh195cxy
Hannah Pingree,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdk7sh8g2x
Vaughn J Mclaughlin,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhtvjtpxz
Danny E Costain,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758q5em2y1d
Jason G Litalien,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdh8ya7bza
Michael Dubois,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758qqnhq6mc
Andrew R. Torbett,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdm13m7rp3
Paul R Flynn,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758r62davwz
"Marc G. Malon, II",Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhgb4hbsj
OWEN MCCARTHY,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhqxyxxe2
Brendan Kernan Williams,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcrerstc7zyzayhxb1a
Kristen Sarah Cloutier,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmppvw2rswn
