"filer_name","race","district","party","list"
"Dannie D Abbott","Representative","79","Republican","2024"
"Mana Hared Abdi","Representative","95","Democratic","2024"
"Mana Hared Abdi","Senator","21","Democratic","2024"
"Susan Abercrombie","Senator","28","Republican","2024"
"Kent F. Ackley","Representative","56","Unenrolled","2024"
"Herbert C. Adams","Representative","118","Democratic","2024"
"Jeff Adams","Representative","144","Republican","2024"
"Jeffrey Sean Adams","Representative","144","Republican","2024"
"Maria Michela Aguilo","Governor",NA,"Republican","2024"
"Roger Clarence Albert","Representative","2","Republican","2024"
"Nicholas Alexander","Representative","58","Republican","2024"
"Suzanne Andresen","Senator","24","Unenrolled","2024"
"Suzanne R. Andresen","Representative","49","Republican","2024"
"John Andrews","Representative","79","Republican","2024"
"John Andrews","Senator","18","Republican","2024"
"Daniel Joseph Ankeles","Representative","100","Democratic","2024"
"Daniel Joseph Ankeles","Representative","100","Democratic","2024"
"Amy Bradstreet Arata","Representative","104","Republican","2024"
"Marshall Archer","Representative","129","Democratic","2024"
"Marshall Archer","Representative","129","Democratic","2024"
"Donald James Ardell","Representative","6","Republican","2024"
"Poppy Arford","Representative","101","Democratic","2024"
"Poppy T. Arford","Representative","101","Democratic","2024"
"Candace T Augustine","Representative","35","Democratic","2024"
"Chris P Austin","Representative","43","Republican","2024"
"Susan M Austin","Representative","105","Republican","2024"
"Mark M Babin","Representative","3","Republican","2024"
"Mark M. Babin","Representative","3","Republican","2024"
"Barbara A. Bagshaw","Representative","106","Republican","2024"
"Barbara Anne Bagshaw","Representative","106","Republican","2024"
"Donna Bailey","Senator","31","Democratic","2024"
"Donna Bailey","Senator","31","Democratic","2024"
"Joseph M. Baldacci","Senator","9","Democratic","2024"
"Norman Edward Bamford","Representative","12","Democratic","2024"
"Michael Thomas III Barden","Representative","138","Unenrolled","2024"
"Alicia Barnes","Representative","66","Democratic","2024"
"Joan S Beal","Representative","81","Democratic","2024"
"Janet Beaudoin (Special)","Representative","94","Republican","2024"
"Janet Inger Beaudoin","Representative","94","Republican","2024"
"Matthew D. Beck","Representative","122","Democratic","2024"
"Matthew D. Beck","Representative","122","Democratic","2024"
"Matthew D. Beck","Representative","122","Democratic","2024"
"Anne H Beebe-Center","Senator","12","Democratic","2024"
"Amy C Bell","Representative","142","Republican","2024"
"Arthur L Bell","Representative","103","Democratic","2024"
"Shenna Bellows","Governor",NA,"Democratic","2024"
"Paul Edward Bennett","Senator","34","Unenrolled","2024"
"Richard Bennett","Governor",NA,"Unenrolled","2024"
"Richard A. Bennett","Senator","18","Republican","2024"
"Paul Bernard","Representative","120","Unenrolled","2024"
"Susan Bernard","Senator","1","Republican","2024"
"Lawrence E. Jr. Bessey","Representative","58","Republican","2024"
"Bruce Bickford","Senator","20","Republican","2024"
"Bruce Bickford","Senator","20","Republican","2024"
"Saige Michele Bird","Representative","62","Unenrolled","2024"
"Steven Matthew Bishop","Representative","17","Republican","2024"
"Steven Matthew IV Bishop","Representative","17","Republican","2024"
"Russell Black","Senator","5","Republican","2024"
"Russell John Black","Representative","74","Republican","2024"
"Brian J. Blake","Representative","68","Democratic","2024"
"Jessica Bonafine Blanchard","Representative","69","Democratic","2024"
"Mark J. Blier","Representative","138","Republican","2024"
"Marc Anthony Boisse","Representative","141","Republican","2024"
"Tiffany Bond","Representative","73","Unenrolled","2024"
"Elizabeth D. Bosworth","Senator","18","Democratic","2024"
"Corey Stephen Bouchard","Representative","88","Democratic","2024"
"Joe N Boyd","Representative","55","Republican","2024"
"David Wayne Jr. Boyer","Representative","87","Republican","2024"
"David Wayne Jr. Boyer","Representative","87","Republican","2024"
"Michelle N Boyer","Representative","123","Democratic","2024"
"Michelle Nicole Boyer","Representative","123","Democratic","2024"
"Richard T. Bradstreet","Senator","15","Republican","2024"
"Eric Brakey","Senator","20","Republican","2024"
"Michael F Brennan","Representative","115","Democratic","2024"
"Stacy Fielding Brenner","Senator","30","Democratic","2024"
"William R. Bridgeo","Representative","60","Democratic","2024"
"William Raymond Bridgeo","Representative","60","Democratic","2024"
"Laura T Bridgman","Representative","33","Democratic","2024"
"Leon C. Brillant","Representative","51","Republican","2024"
"Joseph Thomas Brown","Representative","31","Democratic","2024"
"Tammy Brown","Representative","65","Republican","2024"
"Vincent E Brown","Representative","49","Republican","2024"
"Ethan S Brownell","Senator","3","Democratic","2024"
"Bruce S. Bryant","Senator","19","Democratic","2024"
"Stephan M. Bunker","Representative","75","Democratic","2024"
"Nathan Burnett","Senator","22","Democratic","2024"
"Jonathan Bush","Governor",NA,"Republican","2024"
"Daniel E Campbell","Representative","90","Democratic","2024"
"Richard H. Campbell","Representative","19","Republican","2024"
"Richard H. Campbell","Representative","19","Republican","2024"
"Michael D. Capeci","Representative","21","Republican","2024"
"Kenneth A Capron","Senator","27","Democratic","2024"
"Kenneth A. Capron","Governor",NA,"Republican","2024"
"Douglas Colburn Jr. Carlisle","Representative","5","Republican","2024"
"NATHAN M CARLOW","Representative","137","Republican","2024"
"Anne Carney","Senator","29","Democratic","2024"
"Justin P Cartier","Representative","23","Republican","2024"
"Elizabeth Caruso","Representative","72","Republican","2024"
"Elizabeth Caruso","Senator","5","Republican","2024"
"Marc Dominique Casavant","Representative","95","Republican","2024"
"Frank Joseph Casella","Representative","21","Republican","2024"
"Thomas Casey","Representative","25","Republican","2024"
"Carrye L Castleman-Ross","Representative","83","Democratic","2024"
